,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,google-collections.csv
adonthell.csv,0.26,0.35,,0.21,0.19,0.29,0.21,0.18,0.21,0.4,0.31,0.26,0.32,0.35,0.36,0.36,0.23,0.33
avisynth2.csv,0.33,0.32,0.44,0.38,0.4,0.4,0.27,0.46,0.32,,0.39,0.39,0.1,0.35,0.45,0.38,0.38,0.3
coot.csv,0.32,0.14,0.23,0.36,0.43,0.39,0.25,0.45,0.27,0.18,0.41,0.37,0.37,0.26,,0.28,0.38,0.37
dsworkbench.csv,0.26,,0.41,0.3,0.36,0.33,0.29,0.31,0.31,0.37,0.41,0.32,0.3,0.34,0.35,0.38,0.33,0.35
forester-atv.csv,,0.23,0.44,0.27,0.4,0.35,0.15,0.11,0.15,0.4,0.34,0.14,0.29,0.35,0.45,0.38,0.24,0.39
freelords.csv,0.3,0.36,0.44,,0.38,0.37,0.31,0.37,0.33,0.4,0.41,0.36,0.4,0.35,0.45,0.38,0.34,0.33
gabel.csv,0.32,0.36,0.44,0.36,0.26,0.33,0.31,,0.26,0.4,0.42,0.4,0.41,0.35,0.45,0.38,0.35,0.39
geotools.csv,0.17,0.27,0.2,0.12,0.16,0.17,0.17,0.12,0.19,0.38,0.14,,0.41,0.29,0.44,0.19,0.2,0.2
gephex.csv,0.24,0.36,0.44,0.31,0.34,0.32,0.25,0.41,0.33,0.31,0.42,0.28,0.35,,0.45,0.36,0.26,0.21
google-collections.csv,0.33,0.36,0.44,0.38,0.45,0.4,0.31,0.46,0.33,0.4,0.42,0.41,0.41,0.35,0.45,0.38,0.39,
jpaul.csv,0.18,0.21,0.31,0.2,,0.21,0.25,0.2,0.2,0.15,0.2,0.29,0.38,0.32,0.45,0.36,0.17,0.17
neodatis-odb.csv,0.27,0.2,0.29,0.25,0.4,,0.19,0.33,0.25,0.37,0.3,0.23,0.4,0.26,0.19,0.33,0.37,0.32
pokenetonline.csv,0.27,0.36,0.44,0.29,0.28,0.34,0.23,0.36,,0.4,0.35,0.31,0.32,0.34,0.4,0.38,0.35,0.24
rcp-company-uibindings.csv,0.26,0.36,0.31,0.35,0.24,0.31,0.23,0.23,0.25,0.28,0.27,0.28,0.22,0.28,0.34,0.26,,0.35
scenemonitor.csv,0.2,0.33,0.16,0.32,0.14,0.21,,0.4,0.29,0.28,0.14,0.28,0.27,0.2,0.45,0.36,0.18,0.17
servicestack.csv,0.17,0.29,0.44,0.36,0.4,0.35,0.25,0.44,0.33,0.4,0.32,0.39,,0.35,0.45,0.38,0.29,0.39
synecdoche.csv,0.21,0.23,0.2,0.28,0.22,0.24,0.27,0.27,0.18,0.26,0.41,0.21,0.3,0.23,0.35,,0.24,0.22
twostep.csv,0.26,0.33,0.25,0.21,0.14,0.29,0.23,0.22,0.27,0.38,,0.26,0.24,0.31,0.25,0.18,0.19,0.35
