,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv,google-collections.csv
adonthell.csv,0.42,0.75,,0.84,0.13,0.27,0.38,0.11,0.89,0.05,0.45,0.36,0.29,0.63,0.38,0.39,0.98,1.0
avisynth2.csv,0.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.75,,0.5,0.44,0.5,0.0,0.0,0.0,1.0,1.0
coot.csv,0.28,0.9,0.57,0.74,0.29,0.3,0.43,0.08,0.63,0.0,0.32,0.2,0.33,0.61,,0.41,0.95,0.97
dsworkbench.csv,0.45,,0.57,0.79,0.34,0.3,0.42,0.1,0.74,0.05,0.36,0.32,0.32,0.63,0.51,0.39,0.96,0.99
forester-atv.csv,,0.68,1.0,0.69,0.5,0.8,0.6,0.13,0.94,0.0,1.0,0.33,0.67,0.0,0.5,0.0,0.97,0.0
freelords.csv,0.4,0.76,0.56,,0.31,0.32,0.38,0.09,0.71,0.05,0.36,0.3,0.28,0.63,0.52,0.4,0.96,0.97
gabel.csv,0.5,0.0,0.0,0.5,0.8,0.12,0.0,,0.86,0.0,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.0
geotools.csv,0.45,0.76,0.72,0.83,0.17,0.35,0.71,0.12,0.91,0.05,0.86,,0.3,0.81,0.0,0.44,0.98,1.0
gephex.csv,0.28,0.76,0.56,0.81,0.33,0.36,0.46,0.06,0.71,0.02,0.37,0.34,0.26,,0.52,0.38,0.96,1.0
google-collections.csv,0.37,0.76,0.56,0.74,0.29,0.35,0.38,0.08,0.71,0.05,0.37,0.28,0.27,0.63,0.52,0.4,0.96,
jpaul.csv,0.5,0.68,0.56,0.93,,0.29,0.5,0.2,0.68,0.09,0.57,0.27,1.0,1.0,0.0,0.0,1.0,1.0
neodatis-odb.csv,0.37,0.94,0.69,0.73,0.22,,0.47,0.05,0.78,0.07,0.29,0.25,0.1,0.64,0.73,0.39,0.97,0.97
pokenetonline.csv,0.41,0.76,0.56,0.8,0.37,0.36,0.49,0.1,,0.05,0.4,0.34,0.35,0.64,0.54,0.41,0.97,1.0
rcp-company-uibindings.csv,0.41,0.76,0.5,0.77,0.39,0.31,0.35,0.13,0.82,0.07,0.45,0.32,0.31,0.62,0.56,0.42,,0.97
scenemonitor.csv,0.5,0.77,0.57,1.0,0.5,0.33,,0.14,0.89,0.12,0.62,0.44,0.29,0.6,0.0,0.25,0.98,1.0
servicestack.csv,0.61,0.67,0.0,1.0,0.5,0.8,0.5,0.0,0.0,0.0,0.8,0.45,,0.0,0.0,0.0,0.96,0.0
synecdoche.csv,0.44,0.75,0.69,0.79,0.22,0.3,0.36,0.07,0.72,0.0,0.31,0.36,0.22,0.66,0.71,,0.98,1.0
twostep.csv,0.47,0.77,0.78,0.85,0.5,0.34,0.52,0.15,0.77,0.05,,0.32,0.41,0.67,0.68,0.55,0.98,1.0
