,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,xreal.csv
agilitybook.csv,1.0,0.14,0.02,0.4,0.94,0.11,0.07,0.05
apolloplayer.csv,0.24,1.0,0.01,0.17,0.96,0.14,0.0,0.0
k3d.csv,0.13,0.57,0.0,0.0,1.0,0.97,0.0,0.0
kowari.csv,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0
redshell.csv,0.14,0.23,0.0,0.31,0.99,0.22,0.08,0.01
rtb-team.csv,0.14,0.24,0.0,1.0,0.94,0.27,0.12,0.05
xreal.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
