,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.48,0.0,0.54,0.0,0.57,0.75,0.4,0.0,0.47,0.27,0.85,0.0,0.24
badtrinity-zero.csv,0.1,0.0,0.67,0.0,0.61,0.17,0.11,0.0,0.54,0.74,0.73,0.51,0.6
bibletime.csv,0.62,0.66,0.64,0.68,0.62,0.77,0.63,0.66,0.59,0.7,0.71,0.37,0.25
critterding.csv,0.56,0.62,0.44,0.54,0.32,0.36,0.3,0.54,0.21,0.0,0.62,0.64,0.58
elateportal.csv,0.44,0.34,0.53,0.71,0.67,0.67,0.44,0.54,0.2,0.45,0.98,0.38,0.44
fmri-dmt.csv,0.5,0.5,0.48,0.41,0.22,0.35,0.51,0.43,0.82,0.45,0.43,0.47,0.33
ftm.csv,0.33,0.25,0.27,0.45,0.41,0.38,0.31,0.12,0.2,0.4,0.0,0.51,0.65
gusanos.csv,0.29,0.54,0.54,0.7,0.52,0.53,0.31,0.8,0.61,0.67,0.38,0.0,0.16
monetdb.csv,0.4,0.51,0.37,0.62,0.64,0.61,0.39,0.5,0.2,0.48,0.77,0.48,0.61
quarkplayer.csv,0.46,0.18,0.4,0.37,0.02,0.1,0.79,0.09,0.51,0.3,0.0,0.24,0.09
reactos-mirror.csv,0.65,0.67,0.58,0.75,0.73,0.66,0.75,0.57,0.64,0.75,0.71,0.0,0.16
sandiaportals.csv,0.53,0.58,0.55,0.66,0.65,0.67,0.48,0.71,0.48,0.72,0.06,0.76,0.64
xbplayer.csv,0.36,0.5,0.52,0.75,0.64,0.68,0.3,0.59,0.37,0.56,0.84,0.56,0.48
