,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.84,1.0,0.66,1.0,0.55,0.35,0.72,1.0,0.86,0.93,0.35,1.0,0.94
badtrinity-zero.csv,0.92,1.0,0.47,1.0,0.75,0.96,0.91,1.0,0.55,0.47,0.42,0.83,0.74
bibletime.csv,0.63,0.6,0.6,0.47,0.59,0.54,0.65,0.58,0.68,0.42,0.67,0.9,0.82
critterding.csv,0.68,0.48,0.87,0.77,0.92,0.91,0.92,0.72,0.95,1.0,0.7,0.56,0.76
elateportal.csv,0.86,0.91,0.65,0.6,0.63,0.64,0.87,0.8,0.88,0.68,0.02,0.89,0.86
fmri-dmt.csv,0.75,0.75,0.84,0.88,0.9,0.86,0.76,0.87,0.27,0.85,0.89,0.85,0.87
ftm.csv,0.72,0.79,0.77,0.61,0.65,0.68,0.77,0.9,0.84,0.66,1.0,0.55,0.51
gusanos.csv,0.77,0.77,0.58,0.62,0.82,0.56,0.8,0.33,0.66,0.57,0.81,1.0,0.88
monetdb.csv,0.72,0.58,0.7,0.5,0.46,0.47,0.77,0.55,0.85,0.6,0.27,0.57,0.69
quarkplayer.csv,0.66,0.86,0.76,0.73,0.99,0.93,0.36,0.95,0.67,0.76,1.2,0.86,0.94
reactos-mirror.csv,0.46,0.58,0.59,0.46,0.5,0.6,0.56,0.74,0.68,0.47,0.67,1.0,0.89
sandiaportals.csv,0.64,0.68,0.61,0.65,0.56,0.47,0.84,0.49,0.77,0.49,0.97,0.33,0.71
xbplayer.csv,0.73,0.62,0.6,0.38,0.44,0.45,0.83,0.47,0.74,0.55,0.35,0.5,0.62
