,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.53,0.6,0.46,0.61,0.5,0.64,0.55,0.44,0.62,0.58,0.62,0.52,0.48,0.58,0.97,0.58,0.55,1.0,0.58,0.83
ardour.csv,0.52,0.6,0.64,0.4,0.87,0.7,0.52,0.36,0.43,0.71,0.53,0.57,0.46,0.62,0.53,0.94,0.48,0.67,0.47,0.72
arianne.csv,0.74,0.4,0.98,0.95,0.78,1.0,0.89,1.0,0.97,0.97,1.0,1.0,0.94,0.9,0.96,0.89,0.82,0.95,0.99,1.0
bacnet.csv,0.54,0.83,0.48,0.47,0.47,0.56,0.51,0.39,0.45,0.55,0.52,0.7,0.54,0.69,0.51,0.71,0.5,0.51,0.57,0.69
cortex-vfx.csv,0.55,0.65,0.49,0.5,0.81,0.54,0.72,0.61,0.47,0.65,0.7,0.89,0.5,0.64,0.6,0.68,0.5,0.51,0.59,0.63
emeraldemu.csv,0.79,0.67,0.6,0.36,0.89,0.92,0.75,0.98,0.35,0.97,1.0,0.99,0.46,0.6,0.62,0.98,0.55,0.71,0.87,0.74
fritzing.csv,0.38,0.63,0.4,0.47,0.38,0.56,0.59,0.31,0.46,0.74,0.71,0.68,0.76,0.6,0.51,0.97,0.48,0.66,0.6,0.77
gnupdate.csv,0.84,0.57,0.87,0.73,0.75,0.57,0.75,0.73,0.87,0.68,0.22,0.64,0.6,0.52,0.61,0.8,0.57,0.82,0.59,0.69
grafx2.csv,0.69,0.63,0.68,0.44,0.87,0.67,0.56,0.28,0.42,0.62,0.71,0.66,0.6,0.61,0.66,0.82,0.55,0.74,0.59,0.68
gstreamer.csv,0.79,0.79,0.77,0.75,0.94,0.54,0.6,0.64,0.78,0.73,0.69,0.86,0.64,0.55,0.53,0.95,0.66,0.96,0.4,0.89
keyczar.csv,0.95,0.9,0.89,0.86,0.97,0.93,0.87,0.93,0.98,0.92,1.01,0.76,0.98,0.88,1.0,0.34,0.96,1.0,0.87,1.0
linux-ntfs.csv,0.74,0.66,0.48,0.65,0.62,0.51,0.8,0.46,0.58,0.76,0.82,0.69,0.57,0.55,0.49,0.55,0.67,0.64,0.69,0.62
multitude.csv,0.65,0.6,0.83,0.7,0.73,0.54,0.59,0.56,0.66,0.75,0.66,0.85,0.83,0.46,0.42,0.7,0.6,0.89,0.55,0.97
planeshift.csv,0.77,0.78,0.76,0.66,0.66,0.57,0.45,0.38,0.66,0.81,0.9,0.81,0.9,0.84,0.96,0.69,0.71,0.99,0.72,1.0
rsyslog.csv,0.68,0.66,0.88,0.53,0.65,0.35,0.61,0.39,0.45,0.8,0.57,0.63,0.64,0.65,0.52,0.72,0.8,0.94,0.55,0.87
salasaga.csv,0.5,0.86,0.51,0.65,0.68,0.45,0.5,0.47,0.55,0.56,0.66,0.72,0.7,0.68,0.41,0.92,0.48,0.64,0.6,0.82
wow-qrsk.csv,0.86,0.61,0.45,0.45,0.9,0.92,0.9,0.74,0.31,0.69,0.9,0.91,0.9,0.91,0.72,0.98,0.92,0.63,0.75,0.74
xmoto.csv,0.68,0.65,0.42,0.51,0.44,0.68,0.55,0.42,0.36,0.73,0.72,0.61,0.52,0.58,0.93,0.63,0.32,0.6,0.97,0.97
xuggle.csv,0.51,0.68,0.34,0.57,0.66,0.57,0.77,0.58,0.47,0.76,0.77,0.73,0.71,0.58,0.43,0.86,0.74,0.65,0.84,0.88
yield.csv,0.73,0.72,0.47,0.6,0.34,0.5,0.67,0.45,0.46,0.76,0.54,0.67,0.73,0.62,0.7,0.55,0.55,0.94,0.7,0.75
