,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.6,0.58,0.19,0.38,0.62,0.58,0.83,0.72,0.26,0.42,0.25,0.74,0.69,0.64,0.16,0.82,0.56,0.22,0.66,0.47
ardour.csv,0.61,0.68,0.19,0.54,0.89,0.8,0.85,0.83,0.42,0.36,0.31,0.72,0.72,0.74,0.25,0.75,0.62,0.26,0.79,0.49
arianne.csv,0.5,0.72,0.11,0.31,0.54,0.52,0.77,0.53,0.19,0.35,0.19,0.63,0.56,0.52,0.16,0.64,0.48,0.2,0.58,0.47
bacnet.csv,0.66,0.4,0.27,0.49,0.71,0.68,0.87,0.84,0.33,0.5,0.33,0.69,0.66,0.72,0.25,0.93,0.67,0.33,0.67,0.48
cortex-vfx.csv,0.62,0.61,0.21,0.45,0.71,0.86,0.82,0.72,0.39,0.38,0.5,0.68,0.72,0.67,0.23,0.82,0.64,0.4,0.82,0.53
emeraldemu.csv,0.48,0.55,0.15,0.61,0.88,1.0,0.95,1.0,0.42,0.33,0.0,1.0,0.81,0.67,0.18,1.0,0.71,0.25,0.75,0.51
fritzing.csv,0.71,0.67,0.23,0.46,0.75,0.68,0.82,0.8,0.57,0.32,0.35,0.68,0.6,0.67,0.27,0.5,0.71,0.4,0.65,0.46
gnupdate.csv,0.48,0.59,0.09,0.31,0.52,0.61,0.75,0.53,0.19,0.36,0.55,0.67,0.62,0.64,0.21,0.79,0.54,0.23,0.76,0.51
grafx2.csv,0.51,0.56,0.16,0.51,0.8,0.58,0.83,0.85,0.38,0.4,0.43,0.71,0.62,0.59,0.21,0.9,0.56,0.35,0.7,0.5
gstreamer.csv,0.5,0.52,0.12,0.32,0.49,0.65,0.82,0.61,0.2,0.33,0.2,0.64,0.62,0.63,0.23,0.74,0.52,0.21,0.78,0.44
keyczar.csv,0.31,0.39,0.08,0.24,0.21,0.3,0.69,0.33,0.05,0.43,0.0,0.59,0.22,0.47,0.0,0.92,0.22,0.0,0.58,0.0
linux-ntfs.csv,0.57,0.55,0.19,0.37,0.58,0.74,0.77,0.74,0.25,0.34,0.15,0.64,0.64,0.63,0.37,0.83,0.49,0.33,0.62,0.53
multitude.csv,0.56,0.58,0.12,0.33,0.54,0.65,0.81,0.66,0.23,0.35,0.23,0.64,0.58,0.7,0.28,0.79,0.54,0.23,0.84,0.48
planeshift.csv,0.52,0.53,0.13,0.38,0.56,0.62,0.87,0.76,0.24,0.38,0.2,0.65,0.56,0.54,0.16,0.8,0.49,0.22,0.63,0.46
rsyslog.csv,0.53,0.54,0.11,0.43,0.92,0.75,0.81,0.78,0.32,0.5,0.39,0.72,0.61,0.58,0.23,0.83,0.46,0.22,0.7,0.49
salasaga.csv,0.69,0.37,0.18,0.35,0.55,0.71,0.85,0.76,0.3,0.44,0.21,0.63,0.61,0.73,0.3,0.8,0.62,0.28,0.65,0.43
wow-qrsk.csv,0.67,0.57,0.2,0.52,1.0,1.0,0.7,1.0,0.43,0.36,0.5,0.67,0.69,0.6,0.19,1.0,0.75,0.27,0.84,0.49
xmoto.csv,0.67,0.6,0.21,0.43,0.66,0.55,0.85,0.73,0.39,0.36,0.19,0.69,0.67,0.61,0.15,0.8,0.74,0.35,0.58,0.48
xuggle.csv,0.66,0.52,0.29,0.4,0.73,0.64,0.78,0.62,0.36,0.37,0.18,0.64,0.6,0.61,0.3,0.73,0.46,0.33,0.59,0.41
yield.csv,0.53,0.56,0.19,0.41,0.79,0.66,0.79,0.69,0.32,0.37,0.27,0.66,0.6,0.59,0.2,0.86,0.56,0.22,0.63,0.5
