,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.18,0.33,0.29,0.26,0.18,0.13,0.18,0.17,0.13,0.09,0.6,0.49,0.31,0.2,0.28,0.18,0.22,0.27,0.0,0.24
buddata-ebxml-registry.csv,0.97,0.97,0.86,0.43,1.0,0.89,1.0,0.96,0.98,0.96,0.94,0.9,0.76,0.96,0.97,0.96,1.0,0.91,0.0,0.94
cornerstone.csv,0.21,0.11,0.08,0.1,0.09,0.15,0.2,0.14,0.01,0.0,0.34,0.19,0.34,0.25,0.24,0.15,0.12,0.02,0.0,0.0
emeraldemu.csv,0.61,0.36,0.55,0.99,0.09,0.2,0.35,0.17,0.15,0.34,0.72,0.61,0.69,0.87,0.24,0.24,0.22,0.18,0.75,0.71
jahshakafx.csv,0.27,0.25,0.46,0.31,0.09,0.13,0.28,0.43,0.27,0.13,0.55,0.54,0.38,0.57,0.3,0.31,0.27,0.18,0.0,0.41
jaolt.csv,0.31,0.41,0.48,0.49,0.09,0.23,0.32,0.25,0.42,0.13,0.45,0.92,0.41,0.56,0.38,0.44,0.22,0.25,0.25,0.71
kmess.csv,0.12,0.45,0.71,0.83,0.18,0.28,0.22,0.32,0.47,0.3,0.4,0.97,0.1,0.75,0.27,0.44,0.3,0.66,0.25,0.41
maya-work-in-progress.csv,0.72,0.39,0.43,0.17,0.73,0.63,0.7,0.68,0.79,0.21,0.81,0.46,0.69,0.75,0.73,0.67,0.82,0.52,0.5,0.59
mia.csv,0.08,0.1,0.12,0.16,0.18,0.29,0.35,0.24,0.34,0.21,0.47,0.22,0.03,0.4,0.13,0.47,0.22,0.52,0.25,0.41
mp-rechnungs-und-kundenverwaltung.csv,0.31,0.27,0.38,0.22,0.09,0.13,0.32,0.12,0.21,0.09,0.43,0.65,0.55,0.36,0.3,0.29,0.24,0.16,0.0,0.71
novembre.csv,0.17,0.33,0.26,0.25,0.0,0.24,0.28,0.29,0.44,0.15,0.43,0.29,0.28,0.42,0.23,0.24,0.18,0.25,0.75,0.24
ns-3.csv,0.26,0.32,0.48,0.23,0.27,0.44,0.88,0.67,0.63,0.53,0.3,0.84,0.52,0.52,0.82,0.85,0.89,0.75,0.5,0.65
nullc.csv,0.68,1.0,1.0,0.98,0.0,0.21,0.45,0.42,0.32,0.04,0.55,0.99,0.79,0.85,0.69,0.56,0.25,0.25,0.5,0.24
open-beos.csv,0.35,0.41,0.29,0.43,0.18,0.25,0.55,0.55,0.25,0.11,0.26,0.31,0.41,0.4,0.41,0.24,0.47,0.27,0.0,0.35
pixel-commandos.csv,0.01,0.43,0.18,0.4,0.0,0.08,0.08,0.09,0.03,0.0,0.13,0.07,0.0,0.26,0.14,0.13,0.07,0.07,0.5,0.18
plee-the-bear.csv,0.31,0.21,0.25,0.04,0.55,0.56,0.45,0.7,0.62,0.13,0.6,0.22,0.52,0.46,0.34,0.49,0.6,0.43,0.5,0.65
reaper-ecad.csv,0.05,0.04,0.05,0.23,0.0,0.01,0.0,0.05,0.0,0.0,0.04,0.07,0.07,0.0,0.04,0.02,0.0,0.0,0.0,0.0
unladen-swallow.csv,0.1,0.2,0.18,0.04,0.09,0.13,0.45,0.35,0.27,0.11,0.17,0.42,0.52,0.36,0.24,0.05,0.35,0.11,0.0,0.18
xmoto.csv,0.33,0.39,0.27,0.05,0.27,0.45,0.52,0.31,0.32,0.3,0.4,0.19,0.34,0.21,0.54,0.47,0.45,0.3,0.5,0.24
zxing.csv,0.2,0.3,0.38,0.28,0.0,0.08,0.32,0.14,0.11,0.02,0.53,0.66,0.38,0.42,0.42,0.22,0.27,0.14,0.25,0.18
