,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.73,0.7,0.7,0.79,0.42,0.25,0.4,0.65,0.41,0.5,0.63,0.61,0.38,0.45,0.69,0.4,1.0,0.61,0.18,0.66
buddata-ebxml-registry.csv,0.99,1.0,1.0,0.92,0.98,0.93,1.0,0.99,1.0,1.0,0.94,1.0,0.88,1.0,0.97,0.96,1.0,0.97,0.93,0.91
cornerstone.csv,0.52,0.29,0.42,0.38,0.22,0.3,0.2,0.31,0.04,0.06,0.71,0.17,0.44,0.43,0.51,0.3,0.5,0.22,0.3,0.07
emeraldemu.csv,0.9,0.67,0.82,1.0,0.16,0.21,0.6,0.69,0.43,0.78,0.69,0.78,0.7,0.83,0.61,0.42,0.75,0.47,0.42,0.73
jahshakafx.csv,0.85,0.62,0.85,0.71,0.34,0.28,0.53,0.82,0.56,0.59,0.69,0.67,0.49,0.81,0.62,0.55,0.75,0.5,0.48,0.75
jaolt.csv,0.83,0.77,0.76,0.62,0.22,0.26,0.67,0.6,0.57,0.47,0.49,0.89,0.71,0.64,0.67,0.6,0.75,0.5,0.36,0.82
kmess.csv,0.4,0.69,0.91,0.96,0.24,0.26,0.67,0.71,0.62,0.66,0.47,0.94,0.16,0.57,0.6,0.71,0.75,0.69,0.28,0.54
maya-work-in-progress.csv,0.95,0.7,0.85,0.42,0.92,0.7,0.73,0.81,0.87,0.88,0.98,0.67,0.75,0.83,0.86,0.75,0.75,0.81,0.67,0.66
mia.csv,0.29,0.3,0.3,0.38,0.06,0.24,0.47,0.41,0.45,0.5,0.59,0.56,0.14,0.68,0.17,0.41,0.75,0.44,0.07,0.55
mp-rechnungs-und-kundenverwaltung.csv,0.85,0.63,0.76,0.54,0.16,0.3,0.47,0.49,0.51,0.44,0.47,0.67,0.7,0.62,0.59,0.48,0.5,0.42,0.31,0.86
novembre.csv,0.68,0.69,0.36,0.33,0.22,0.35,0.73,0.44,0.6,0.41,0.51,0.11,0.41,0.62,0.64,0.42,1.0,0.44,0.4,0.34
ns-3.csv,0.6,0.65,0.52,0.54,0.44,0.7,1.0,0.5,0.63,0.72,0.53,0.67,0.67,0.68,0.9,0.83,0.75,0.86,0.58,0.71
nullc.csv,0.77,1.0,1.0,1.0,0.64,0.4,0.73,0.67,0.45,0.22,0.71,0.89,0.78,0.64,0.86,0.7,0.75,0.5,0.6,0.7
open-beos.csv,0.89,0.81,0.73,0.79,0.44,0.4,0.73,0.8,0.62,0.44,0.33,0.39,0.59,0.62,0.75,0.48,1.0,0.56,0.45,0.57
pixel-commandos.csv,0.04,0.51,0.21,0.38,0.14,0.14,0.33,0.17,0.12,0.09,0.06,0.0,0.14,0.19,0.28,0.27,1.0,0.19,0.3,0.2
plee-the-bear.csv,0.83,0.44,0.79,0.04,0.48,0.65,0.53,0.59,0.74,0.66,0.63,0.28,0.7,0.6,0.55,0.6,1.0,0.58,0.69,0.71
reaper-ecad.csv,0.25,0.11,0.12,0.62,0.16,0.01,0.07,0.18,0.05,0.03,0.12,0.17,0.15,0.0,0.12,0.09,0.0,0.06,0.15,0.05
unladen-swallow.csv,0.33,0.43,0.45,0.04,0.16,0.34,0.53,0.48,0.45,0.44,0.29,0.44,0.71,0.53,0.57,0.13,0.5,0.17,0.13,0.21
xmoto.csv,0.61,0.69,0.55,0.08,0.5,0.58,0.8,0.6,0.51,0.59,0.51,0.22,0.38,0.26,0.75,0.61,0.75,0.72,0.58,0.12
zxing.csv,0.66,0.61,0.76,0.42,0.36,0.24,0.53,0.49,0.35,0.34,0.57,0.61,0.59,0.51,0.7,0.48,0.75,0.42,0.37,0.75
