,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.25,0.34,0.02,0.09,0.37,0.41,0.22,0.19,0.16,0.17,0.08,0.26,0.11,0.19,0.13,0.13,0.18,0.21,0.1,0.31
etherboot.csv,0.0,1.0,0.07,0.55,0.04,0.78,0.0,0.55,0.34,0.0,0.67,0.0,0.89,0.81,0.35,0.97,0.0,0.09,0.0,0.0
gebr.csv,0.94,0.76,0.66,0.84,0.99,0.78,0.69,1.0,0.85,0.85,1.0,1.0,0.13,0.81,0.98,0.59,0.98,0.94,1.0,0.98
gpac.csv,0.06,1.0,0.96,0.75,0.96,0.85,0.32,0.84,0.98,0.34,0.97,0.57,0.87,0.98,0.67,0.62,0.73,0.64,0.99,0.62
gstreamer.csv,0.55,0.31,0.6,0.73,0.61,0.56,0.55,0.58,0.69,0.83,1.0,0.64,0.21,0.56,0.54,0.33,0.42,0.8,0.28,0.81
kml.csv,0.82,0.31,0.89,0.99,0.77,0.37,0.89,0.87,0.98,0.98,1.0,0.78,0.03,0.89,0.81,0.21,0.66,0.93,0.99,0.97
ktc.csv,0.21,0.24,0.34,0.38,0.41,0.07,0.2,0.16,0.49,0.6,0.46,0.37,0.03,0.18,0.35,0.08,0.28,0.26,0.19,0.44
mbse.csv,0.43,0.36,0.15,0.26,0.56,0.41,0.34,0.28,0.33,0.3,0.05,0.32,0.26,0.44,0.59,0.38,0.32,0.49,0.19,0.55
miranda.csv,0.37,0.0,0.31,0.0,0.01,0.04,0.14,0.26,0.43,0.06,0.05,0.1,0.0,0.19,0.54,0.0,0.0,0.26,1.0,0.43
neoengine.csv,0.31,0.96,0.25,0.38,0.7,0.3,0.24,0.45,0.51,0.91,0.59,1.0,0.11,0.19,0.49,0.59,0.67,0.47,0.8,0.89
nicepress.csv,0.41,0.76,0.91,0.48,0.34,0.33,0.42,0.22,0.8,0.94,0.49,0.99,0.71,0.77,0.28,0.79,0.72,0.63,0.69,0.83
omseek.csv,0.04,0.0,0.01,0.02,0.11,0.0,0.01,0.04,0.11,0.0,0.26,0.01,0.0,0.04,0.17,0.0,0.06,0.08,0.02,0.06
pcsx2.csv,0.54,0.54,0.16,0.21,0.34,0.67,0.22,0.48,0.31,0.47,0.44,1.0,0.53,0.05,0.34,0.1,0.37,0.19,0.32,0.83
plplot.csv,0.61,0.81,0.13,0.83,0.7,0.41,0.75,0.64,0.26,0.98,0.97,1.0,0.08,0.18,0.6,0.87,0.94,1.0,0.99,0.63
rosegarden.csv,0.43,0.37,0.67,0.4,0.54,0.07,0.22,0.29,0.61,0.34,0.1,0.73,0.08,0.3,0.57,0.23,0.42,0.67,0.39,0.63
smarttag.csv,0.31,0.28,0.89,0.29,0.3,0.37,0.13,0.17,0.3,0.17,0.18,0.04,0.03,0.11,0.26,0.1,0.25,0.29,0.03,0.21
vapor.csv,0.0,1.0,0.33,1.0,0.28,0.96,0.0,1.0,1.0,0.0,1.0,0.03,1.0,0.61,0.65,1.0,0.0,0.78,0.0,0.0
wxjs.csv,0.07,0.0,0.04,0.0,0.03,0.04,0.01,0.01,0.08,0.04,0.03,0.0,0.0,0.02,0.02,0.03,0.06,0.17,0.03,0.02
zorannt.csv,0.3,0.43,0.09,0.24,0.38,0.33,0.14,0.1,0.07,0.55,0.46,0.73,0.08,0.05,0.32,0.28,0.78,0.34,0.7,0.72
zscreen.csv,0.38,0.1,0.22,0.34,0.41,0.19,0.28,0.55,0.57,0.11,0.41,0.23,0.03,0.32,0.42,0.0,0.19,0.49,0.01,0.7
