,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.04,0.01,0.13,0.67,0.0,0.05,0.2,0.28,0.25,0.46,0.28,0.73,0.62,0.22
boost-sandbox.csv,0.69,0.64,0.27,0.16,0.7,0.68,0.42,0.37,0.58,0.52,0.59,0.48,0.0,0.36
customwars.csv,0.6,0.43,0.13,0.58,0.21,0.36,0.29,0.61,0.49,0.29,0.48,0.18,0.81,0.48
dvd-create.csv,0.61,0.61,0.19,0.51,0.78,0.2,0.0,0.48,0.63,0.24,0.63,0.76,0.72,0.75
frogatto.csv,0.3,0.64,0.66,0.57,0.63,0.49,0.59,0.64,0.57,0.65,0.52,0.59,0.85,0.77
glelite.csv,0.13,0.33,0.42,0.24,0.48,0.44,0.09,0.61,0.24,0.58,0.44,0.23,0.66,0.97
go.csv,0.6,0.75,0.33,0.55,0.42,0.6,0.0,0.24,0.42,0.68,0.61,0.55,0.65,0.59
irplus.csv,0.56,0.19,0.63,0.52,0.27,0.22,0.69,0.6,0.5,0.59,0.62,0.46,0.74,0.23
lsb.csv,0.52,0.49,0.79,0.62,0.48,0.3,0.1,0.43,0.47,0.57,0.5,0.46,0.59,0.32
moving-pictures.csv,0.53,0.19,0.19,0.07,0.09,0.52,0.0,0.59,0.65,0.66,0.58,0.26,0.6,0.33
mpgravity.csv,0.57,0.69,0.34,0.46,0.64,0.51,0.82,0.13,0.42,0.63,0.57,0.2,0.77,0.54
plearn.csv,0.69,0.44,0.09,0.18,0.31,0.42,0.53,0.42,0.5,0.51,0.65,0.38,0.48,0.46
rebecca-aiml.csv,0.45,0.64,0.7,0.61,0.48,0.42,0.0,0.39,0.57,0.72,0.6,0.88,0.64,0.56
wxcode.csv,0.54,0.46,0.13,0.56,0.23,0.2,0.6,0.33,0.4,0.26,0.45,0.23,0.95,0.44
