,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.03,0.01,0.11,0.67,0.0,0.04,0.17,0.24,0.21,0.44,0.24,0.72,0.57,0.18
boost-sandbox.csv,0.83,0.63,0.24,0.13,0.78,0.73,0.42,0.76,0.64,0.83,0.6,0.48,0.0,0.37
customwars.csv,0.59,0.38,0.11,0.59,0.18,0.33,0.25,0.59,0.46,0.25,0.44,0.15,0.86,0.45
dvd-create.csv,0.61,0.85,0.58,0.65,0.76,0.9,0.0,0.88,0.75,0.89,0.68,0.91,0.86,0.77
frogatto.csv,0.93,0.71,0.62,0.85,0.68,0.6,0.92,0.82,0.89,0.64,0.88,0.67,1.0,0.8
glelite.csv,0.98,0.97,0.4,1.0,0.89,0.44,0.92,0.65,0.89,0.81,0.96,0.72,1.0,0.96
go.csv,0.8,0.75,0.33,0.74,0.38,0.83,0.0,0.94,0.39,0.67,0.64,0.56,0.71,0.54
irplus.csv,0.53,0.16,0.58,0.52,0.23,0.19,0.83,0.59,0.46,0.56,0.6,0.41,0.71,0.19
lsb.csv,0.56,0.56,0.8,0.65,0.88,0.26,0.08,0.76,0.43,0.58,0.8,0.44,0.71,0.27
moving-pictures.csv,0.49,0.16,0.16,0.06,0.07,0.55,0.0,0.76,0.64,0.67,0.6,0.22,0.57,0.28
mpgravity.csv,0.75,0.71,0.73,0.43,0.77,0.94,0.83,0.94,0.39,0.72,0.8,0.81,0.86,0.65
plearn.csv,0.69,0.39,0.07,0.15,0.27,0.39,0.5,0.41,0.5,0.47,0.68,0.37,0.43,0.51
rebecca-aiml.csv,0.41,0.62,0.73,0.72,0.43,0.41,0.0,0.88,0.89,0.72,0.8,0.89,0.71,0.5
wxcode.csv,0.51,0.41,0.11,0.59,0.19,0.17,0.58,0.29,0.36,0.22,0.4,0.2,1.0,0.39
