,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.47,0.64,0.42,0.28,0.44,0.24,0.21,0.09,0.24,0.64,0.69,0.47
e-bio-flow.csv,0.54,0.6,0.73,0.75,0.61,0.24,0.31,0.3,0.16,0.65,0.66,0.45
freedom-erp.csv,0.47,0.13,0.47,0.55,0.76,0.0,0.31,0.43,0.27,0.0,0.19,0.12
jbasic.csv,0.68,0.44,0.57,0.78,0.59,0.67,0.65,0.52,0.0,0.43,0.45,0.64
jgossipforum.csv,0.44,0.47,0.46,0.51,0.05,0.99,0.41,0.76,0.28,0.73,0.19,0.47
joustsim.csv,0.23,0.61,0.34,0.69,0.14,0.94,0.91,0.72,0.44,0.41,0.59,0.62
jsidplay2.csv,0.81,0.53,0.58,0.62,0.38,0.24,0.59,0.41,0.42,0.42,0.54,0.5
madman.csv,0.39,0.42,0.44,0.54,0.34,0.23,0.68,0.86,0.13,0.29,0.23,0.18
mule.csv,0.46,0.66,0.6,0.25,0.71,0.23,0.72,0.28,0.29,0.53,0.5,0.65
nunit.csv,0.38,0.43,0.51,0.67,0.28,0.75,0.56,0.38,0.11,0.61,0.54,0.71
power-architect.csv,0.64,0.5,0.47,0.4,0.54,0.39,0.48,0.09,0.76,0.05,0.59,0.58
reaper3d.csv,0.67,0.47,0.62,0.45,0.63,0.72,0.58,0.65,0.37,0.82,0.47,0.44
