,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.42,0.75,0.37,0.24,0.39,0.2,0.18,1.0,0.2,0.75,0.79,0.42
e-bio-flow.csv,0.51,0.66,0.73,0.84,0.74,0.2,0.27,1.0,0.13,0.75,0.78,0.42
freedom-erp.csv,0.42,0.11,0.43,0.51,0.78,0.0,0.27,0.38,0.24,0.0,0.16,0.1
jbasic.csv,0.75,0.41,0.73,0.83,0.92,1.0,0.91,1.0,0.91,0.38,0.41,0.78
jgossipforum.csv,0.39,0.43,0.43,0.48,0.04,1.0,0.36,0.75,0.26,0.88,0.16,0.42
joustsim.csv,0.2,0.73,0.3,0.78,0.12,1.0,0.91,0.88,0.44,0.88,0.57,0.68
jsidplay2.csv,0.81,0.5,0.57,0.62,0.99,0.2,0.82,0.38,0.85,0.38,0.67,0.55
madman.csv,0.36,0.39,0.4,0.51,0.3,0.2,0.82,0.88,0.11,0.25,0.19,0.15
mule.csv,0.41,0.67,0.6,0.21,0.98,0.2,0.73,0.25,0.39,0.5,0.48,0.68
nunit.csv,0.34,0.38,0.53,0.7,0.24,0.8,0.55,0.38,0.09,0.62,0.51,0.7
power-architect.csv,0.71,0.84,0.73,0.38,0.73,0.4,0.45,1.0,0.74,1.0,0.84,0.82
reaper3d.csv,0.69,0.44,0.73,0.78,0.78,0.8,0.55,0.62,0.63,0.88,0.46,0.45
