,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.06,0.1,0.0,0.24,0.09,0.13,0.0,0.0,0.37,0.03,0.0,0.08,0.04,0.06,0.0,0.07,0.14
dvd-create.csv,0.0,0.78,0.87,0.63,0.74,0.82,0.63,0.71,0.87,0.95,0.74,0.46,0.91,0.7,0.33,0.78,0.6,0.71
echongl.csv,0.33,0.68,0.7,0.85,0.6,0.52,0.42,0.48,0.74,0.0,0.51,0.77,0.77,0.64,0.61,0.67,0.68,0.64
empserver.csv,0.17,0.4,0.26,0.05,0.37,0.0,0.29,0.44,0.5,0.45,0.54,0.31,0.39,0.42,0.56,0.22,0.22,0.5
gdis.csv,0.61,0.46,0.79,0.56,0.74,0.67,0.67,0.58,0.65,0.92,0.6,0.0,0.71,0.47,0.78,0.72,0.45,0.43
gmerlin.csv,0.06,0.22,0.48,0.32,0.17,0.15,0.36,0.04,0.2,0.26,0.32,0.15,0.0,0.17,0.5,0.06,0.15,0.0
growl-for-windows.csv,0.39,0.47,0.37,0.56,0.4,0.55,0.68,0.46,0.48,0.37,0.34,0.46,0.26,0.5,0.0,0.11,0.36,0.29
mpgravity.csv,0.56,0.23,0.43,0.0,0.87,0.48,0.48,0.31,0.57,0.74,0.67,0.54,0.48,0.55,0.17,0.33,0.36,0.43
myfaces.csv,0.44,0.49,0.32,0.9,0.0,0.55,0.54,0.42,0.37,0.34,0.37,0.62,0.41,0.65,0.61,0.28,0.73,0.64
nativeclient.csv,0.17,0.36,0.35,0.78,0.35,0.15,0.38,0.54,0.3,0.13,0.52,0.31,0.23,0.41,0.44,0.28,0.0,0.14
passwordsafe.csv,0.5,0.25,0.39,0.0,0.4,0.33,0.37,0.27,0.61,0.37,0.15,0.62,0.5,0.0,0.67,0.39,0.1,0.5
phonon-vlc-mplayer.csv,0.44,0.0,0.33,0.37,0.75,0.79,0.86,0.1,0.52,0.63,0.05,0.31,0.35,0.07,0.78,0.56,0.45,0.79
ppcboot.csv,0.5,0.56,0.66,0.61,0.62,0.39,0.01,0.6,0.7,0.47,0.23,0.38,0.44,0.48,0.39,0.28,0.37,0.57
rtrt-on-gpu.csv,0.11,0.39,0.26,0.27,0.19,0.45,0.15,0.0,0.37,0.11,0.26,0.31,0.36,0.47,0.33,0.33,0.25,0.0
sandiaportals.csv,0.33,0.39,0.52,0.88,0.87,0.24,0.44,0.75,0.7,0.84,0.55,0.38,0.79,0.4,0.72,0.0,0.33,0.43
tktoolkit.csv,0.17,0.4,0.0,0.05,0.4,0.21,0.29,0.21,0.43,0.11,0.26,0.46,0.29,0.28,0.56,0.17,0.32,0.57
ultimairis.csv,0.94,0.54,0.95,0.07,0.82,0.88,0.66,0.54,0.7,0.68,0.0,0.85,0.47,0.69,0.33,0.28,0.86,0.64
wikipediardware.csv,0.39,0.62,0.65,0.15,0.79,0.7,0.63,0.65,0.61,0.89,0.87,0.31,0.8,0.66,0.61,0.72,0.65,0.0
