,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.74,0.73,0.79,0.92,0.67,0.84,0.75,0.9,0.0,0.87,0.83,0.77,0.85,0.86,0.86,0.83,0.85,0.8
dvd-create.csv,0.04,0.8,0.88,0.72,0.75,0.82,0.72,0.81,0.87,0.95,0.81,0.51,0.91,0.73,0.65,0.79,0.67,0.74
echongl.csv,0.65,0.74,0.72,0.89,0.88,0.59,0.67,0.52,0.87,0.0,0.69,0.9,0.8,0.74,0.71,0.67,0.76,0.78
empserver.csv,0.55,0.47,0.66,0.75,0.56,0.03,0.76,1.0,0.67,0.65,0.7,0.59,0.77,0.63,0.85,0.56,0.59,0.69
gdis.csv,0.63,0.55,0.8,0.7,0.74,0.75,0.71,0.77,0.65,0.93,0.7,0.02,0.77,0.52,0.88,0.73,0.59,0.52
gmerlin.csv,0.64,0.88,0.71,0.52,0.67,0.79,0.77,0.9,0.87,0.9,0.73,0.53,0.06,0.79,0.79,0.87,0.72,0.89
growl-for-windows.csv,0.71,0.65,0.54,0.61,0.76,0.6,0.75,0.76,0.54,0.76,0.65,0.77,0.62,0.81,0.06,0.67,0.68,0.62
mpgravity.csv,0.73,0.36,0.58,0.08,0.87,0.62,0.62,0.77,0.64,0.86,0.69,0.6,0.7,0.68,0.37,0.46,0.63,0.64
myfaces.csv,0.73,0.89,0.76,0.91,0.02,0.84,0.87,0.51,0.88,0.72,0.66,0.74,0.67,0.76,0.93,0.91,0.79,0.92
nativeclient.csv,0.68,0.6,0.66,0.78,0.41,0.63,0.69,0.58,0.86,0.62,0.62,0.54,0.81,0.5,0.61,0.73,0.02,0.78
passwordsafe.csv,0.68,0.44,0.53,1.0,0.46,0.75,0.66,0.57,0.7,0.58,0.74,0.66,0.66,0.04,0.72,0.61,0.75,0.69
phonon-vlc-mplayer.csv,0.56,0.04,0.58,0.55,0.78,0.84,0.86,0.81,0.6,0.67,0.83,0.39,0.72,0.76,0.8,0.65,0.55,0.83
ppcboot.csv,0.79,0.61,0.73,0.66,0.67,0.7,0.05,0.64,0.71,0.64,0.62,0.48,0.71,0.57,0.72,0.44,0.68,0.71
rtrt-on-gpu.csv,0.9,0.98,0.66,0.88,0.77,0.92,0.83,0.0,0.93,0.96,0.73,0.75,0.75,0.71,0.8,0.91,0.85,0.97
sandiaportals.csv,0.49,0.41,0.56,0.91,0.87,0.61,0.54,1.03,0.7,0.84,0.68,0.52,0.8,0.5,0.91,0.0,0.52,0.53
tktoolkit.csv,0.88,0.86,0.04,0.83,0.92,0.62,0.74,0.83,0.91,0.91,0.79,0.8,0.75,0.77,0.71,0.94,0.8,1.0
ultimairis.csv,0.96,0.67,0.96,0.67,0.9,0.91,0.82,0.81,0.72,0.74,0.09,0.86,0.76,0.72,0.49,0.65,0.88,0.65
wikipediardware.csv,0.51,0.72,0.83,0.93,0.79,0.76,0.81,0.95,0.79,0.9,0.9,0.43,0.81,0.72,0.93,0.76,0.73,0.03
