,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.94,0.61,0.7,0.92,0.77,0.88,0.89
kftpgrabber.csv,0.69,0.92,0.53,0.57,0.66,0.74,0.53
kindb.csv,0.42,0.41,0.36,0.45,0.42,0.52,0.34
m-a-d-n-e-s-s.csv,0.71,0.58,0.44,0.47,0.86,0.59,0.69
netatalk.csv,0.99,0.91,0.41,0.62,0.69,0.92,0.71
quickfast.csv,0.4,0.38,0.4,0.36,0.43,0.38,0.36
wow-qrsk.csv,0.84,0.53,0.86,0.5,0.78,0.94,0.75
