,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.08,0.28,0.26,0.1,0.29,0.88,0.13
kftpgrabber.csv,0.52,0.4,0.71,0.93,0.5,0.29,0.49
kindb.csv,0.69,0.84,0.97,0.7,0.79,0.35,0.72
m-a-d-n-e-s-s.csv,0.65,0.88,0.47,0.5,0.29,0.35,0.28
netatalk.csv,0.32,0.2,0.47,0.37,0.93,0.12,0.26
quickfast.csv,0.78,0.8,0.74,0.8,0.71,0.88,0.94
wow-qrsk.csv,0.96,0.6,0.21,0.57,0.21,0.18,0.09
