,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.58,0.6,0.44,0.19,0.3,0.2,0.55,0.33,0.42,0.44,0.43,0.54,0.45,0.27
doomlegacy.csv,0.52,0.67,0.68,0.21,0.29,0.14,0.56,0.51,0.5,0.79,0.38,0.44,0.37,0.32
empserver.csv,0.53,0.65,0.74,0.15,0.7,0.25,0.6,0.52,0.59,0.83,0.54,0.53,0.37,0.5
fritzing.csv,0.59,0.68,0.6,0.1,0.39,0.38,0.48,0.59,0.52,0.32,0.44,0.36,0.38,0.69
ifmo-game-1.csv,0.44,0.08,0.15,0.38,0.45,0.0,0.44,0.2,0.16,0.12,0.07,0.0,0.15,0.19
jparsec.csv,0.52,0.16,0.73,0.15,0.69,0.18,0.41,0.69,0.6,0.76,0.39,0.54,0.35,0.97
lmms.csv,0.58,0.57,0.73,0.11,0.55,0.15,0.44,0.52,0.59,0.52,0.46,0.53,0.42,0.8
lufa-lib.csv,0.42,0.65,0.61,0.04,0.23,0.17,0.43,0.5,0.67,0.52,0.34,0.34,0.39,0.51
pgui.csv,0.44,0.65,0.12,0.16,0.67,0.0,0.55,0.54,0.59,0.07,0.36,0.44,0.26,0.0
pi-qmc.csv,0.35,0.22,0.68,0.11,0.64,0.33,0.42,0.51,0.58,0.68,0.32,0.75,0.3,0.88
repositorium.csv,0.11,0.07,0.52,0.14,0.29,0.39,0.0,0.2,0.1,0.49,0.25,0.26,0.18,0.2
superwaba.csv,0.65,0.66,0.5,0.19,0.47,0.23,0.5,0.5,0.37,0.45,0.45,0.4,0.38,0.38
xapian.csv,0.53,0.63,0.68,0.18,0.5,0.28,0.48,0.39,0.54,0.68,0.6,0.29,0.36,0.5
zemljanka.csv,0.47,0.59,0.68,0.2,0.57,0.18,0.39,0.56,0.41,0.79,0.37,0.41,0.31,0.88
