,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,bzbyte.csv
bzbyte.csv,0.0,0.37,0.0,0.24,0.0,0.92,0.0,0.0,0.52,0.0,0.47,0.47,0.0,0.56,0.0,0.0,0.21,0.26,0.0,
freedom-erp.csv,,0.37,0.57,0.24,0.38,0.92,0.09,0.35,0.52,0.41,0.47,0.47,0.0,0.56,0.0,0.32,0.2,0.25,0.0,0.76
