,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,guineu.csv
baadengine.csv,0.0,6.0,7.0,1.0,284.0,0.0,1.0,24.0,11.0,50.0,24.0,0.0,1.0,419.0,3.0,8.0,0.0,0.0,,0.0
elmo.csv,104.0,72.0,92.0,285.0,284.0,135.0,91.0,375.0,73.0,338.0,53.0,69.0,26.0,419.0,12.0,,60.0,4.0,621.0,0.0
encog-java.csv,0.0,72.0,13.0,285.0,284.0,135.0,91.0,,73.0,338.0,24.0,3.0,89.0,419.0,3.0,53.0,8.0,81.0,621.0,1.0
google-collections.csv,0.0,6.0,7.0,1.0,284.0,0.0,1.0,24.0,11.0,109.0,24.0,0.0,1.0,42.0,3.0,8.0,0.0,,1.0,0.0
gtad.csv,0.0,,13.0,285.0,284.0,135.0,91.0,148.0,73.0,338.0,24.0,1.0,140.0,419.0,3.0,8.0,0.0,74.0,621.0,0.0
guineu.csv,104.0,6.0,7.0,1.0,34.0,0.0,1.0,24.0,11.0,44.0,26.0,0.0,1.0,5.0,7.0,35.0,2.0,0.0,1.0,
h2database.csv,0.0,6.0,7.0,1.0,284.0,0.0,1.0,24.0,11.0,109.0,24.0,0.0,1.0,,3.0,8.0,0.0,0.0,1.0,0.0
jahshaka.csv,0.0,72.0,92.0,285.0,284.0,135.0,91.0,375.0,73.0,338.0,,113.0,140.0,419.0,4.0,71.0,0.0,81.0,621.0,11.0
jahshakafx.csv,0.0,6.0,7.0,3.0,284.0,0.0,3.0,24.0,11.0,,24.0,0.0,1.0,419.0,3.0,8.0,0.0,1.0,10.0,0.0
jedit.csv,0.0,6.0,7.0,1.0,284.0,,1.0,24.0,11.0,44.0,24.0,0.0,1.0,47.0,3.0,8.0,0.0,0.0,1.0,0.0
jmoney.csv,0.0,72.0,13.0,285.0,284.0,135.0,91.0,375.0,73.0,338.0,24.0,62.0,140.0,419.0,3.0,35.0,,81.0,621.0,0.0
ktc.csv,0.0,6.0,7.0,1.0,,0.0,1.0,24.0,11.0,44.0,24.0,0.0,1.0,15.0,3.0,8.0,0.0,0.0,1.0,0.0
net-snmp.csv,104.0,6.0,7.0,15.0,284.0,1.0,,24.0,11.0,47.0,24.0,0.0,1.0,35.0,3.0,8.0,0.0,1.0,3.0,0.0
owlib.csv,0.0,6.0,7.0,,284.0,41.0,3.0,24.0,11.0,50.0,24.0,1.0,1.0,42.0,3.0,8.0,0.0,1.0,22.0,1.0
paintown.csv,0.0,6.0,7.0,33.0,284.0,135.0,91.0,79.0,23.0,190.0,24.0,0.0,,419.0,3.0,35.0,2.0,6.0,76.0,0.0
rhex.csv,104.0,72.0,,285.0,284.0,135.0,91.0,375.0,73.0,338.0,24.0,2.0,140.0,419.0,3.0,71.0,20.0,61.0,621.0,1.0
selenium.csv,0.0,72.0,7.0,285.0,284.0,135.0,91.0,375.0,73.0,338.0,24.0,,92.0,419.0,3.0,35.0,0.0,15.0,621.0,0.0
umber.csv,0.0,6.0,7.0,30.0,284.0,135.0,91.0,24.0,,338.0,24.0,0.0,1.0,419.0,3.0,8.0,0.0,1.0,45.0,0.0
x4x.csv,0.0,72.0,13.0,285.0,284.0,135.0,91.0,375.0,73.0,338.0,24.0,113.0,70.0,419.0,,8.0,0.0,3.0,621.0,0.0
