,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,bzbyte.csv
bzbyte.csv,0.21,0.14,0.18,0.16,0.22,0.14,0.17,0.17,0.18,0.19,0.13,0.22,0.23,0.2,0.23,0.26,0.2,0.16,0.19,
freedom-erp.csv,,0.14,0.18,0.16,0.22,0.14,0.17,0.17,0.18,0.19,0.13,0.22,0.23,0.2,0.23,0.26,0.2,0.16,0.19,0.17
