,freedom-erp.csv,twostep.csv,iaml.csv,etics.csv,neoengine.csv,nsis.csv,vdsf.csv,monetdb.csv,amygdala.csv,ikvm.csv,jicarilla.csv,metacosm.csv,mplayer-ce.csv,moviesandbox.csv,uwom.csv,geotools.csv,jrdf.csv,ng4j.csv,bloodycore.csv,bzbyte.csv
bzbyte.csv,0.0,1.0,0.0,1.0,0.0,0.98,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
freedom-erp.csv,,1.0,1.0,1.0,1.0,1.0,1.0,0.36,1.0,0.95,1.0,1.0,0.0,1.0,0.0,0.98,1.0,1.0,0.0,1.0
