,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,guineu.csv
baadengine.csv,1.0,1.0,1.0,0.99,1.0,0.52,0.86,0.98,0.89,0.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
elmo.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.95,0.97,1.0,0.98,,1.0,0.99,1.0,0.96
encog-java.csv,0.69,1.0,0.62,1.0,1.0,1.0,1.0,,1.0,1.0,0.49,0.79,0.99,1.0,0.7,0.81,0.62,1.0,1.0,0.58
google-collections.csv,1.0,1.0,1.0,0.97,1.0,0.58,0.84,0.98,0.82,1.0,1.0,0.96,1.0,0.59,1.0,1.0,1.0,,1.0,1.0
gtad.csv,0.68,,0.59,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.86,0.65,1.0,1.0,0.84,0.6,0.4,0.99,1.0,0.69
guineu.csv,1.01,0.93,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.72,0.99,1.0,0.99,0.64,0.69,1.0,1.0,
h2database.csv,1.0,1.0,1.0,1.0,1.0,0.82,0.68,1.0,0.96,0.47,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.74,1.0
jahshaka.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.56,1.0,0.8,1.0,1.0,0.7
jahshakafx.csv,1.0,1.0,1.0,0.94,1.0,0.74,0.69,0.93,0.75,,1.0,0.89,0.95,1.0,1.0,1.0,1.0,1.01,0.58,1.0
jedit.csv,1.0,1.0,1.0,0.98,1.0,,1.0,0.99,0.85,0.54,1.0,0.98,1.0,0.64,1.0,1.0,1.0,1.0,0.79,1.0
jmoney.csv,0.84,1.0,0.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,0.8,1.0,1.0,1.0,0.81,,1.0,1.0,0.49
ktc.csv,1.0,1.0,1.0,1.0,,0.99,0.9,1.0,1.0,0.9,1.0,1.0,0.99,0.93,1.0,1.0,1.0,1.0,1.0,1.0
net-snmp.csv,1.39,0.89,0.88,0.84,1.0,0.77,,0.99,0.82,0.78,0.98,0.82,0.77,0.98,0.83,1.0,1.0,0.57,0.69,1.0
owlib.csv,0.88,0.59,0.78,,1.0,0.95,0.61,0.54,0.68,0.38,0.76,0.53,0.48,0.96,0.85,0.59,0.65,0.51,0.81,0.82
paintown.csv,0.64,1.0,1.0,0.84,1.0,1.0,1.0,0.88,0.47,0.99,1.0,0.8,,1.0,1.01,0.67,0.87,0.84,0.98,0.55
rhex.csv,1.02,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.89,1.0,1.0,0.79,1.01,0.75,0.96,1.0,0.85
selenium.csv,0.99,1.14,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.94,1.0,1.0,0.93,1.0,0.85,1.0,1.0
umber.csv,1.0,0.96,1.0,0.77,1.0,1.0,1.0,0.68,,1.0,1.0,0.94,0.93,1.0,0.92,1.0,1.0,0.5,0.97,0.97
x4x.csv,0.87,1.0,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.01,0.99,1.0,,0.85,0.61,0.94,1.0,0.66
