,jicarilla.csv,bacula.csv,pentahoanalysistool.csv,foursquared.csv,bdbbasic.csv,open-data-kit.csv,yafdotnet.csv,impala.csv,turbotrader-bos.csv,ultimairis.csv,tradelink.csv,wikipediardware.csv,ng4j.csv
bacula.csv,0.63,0.42,0.41,0.36,0.44,0.46,0.5,0.43,0.47,0.58,0.42,0.7,0.45
bdbbasic.csv,0.52,0.38,0.44,0.43,0.69,0.43,0.51,0.41,0.4,0.52,0.48,0.75,0.45
foursquared.csv,0.0,0.0,0.79,0.61,0.0,0.75,0.0,0.0,0.98,0.0,0.75,0.5,0.0
impala.csv,0.78,0.66,0.72,0.65,0.53,0.72,0.5,0.95,0.84,0.43,0.48,0.78,0.5
jicarilla.csv,0.85,0.93,0.75,0.0,0.5,0.9,0.97,0.95,0.94,0.83,0.83,0.0,0.9
ng4j.csv,0.83,0.48,0.49,0.35,0.69,0.46,0.58,0.52,0.45,0.45,0.49,0.5,0.84
open-data-kit.csv,0.82,0.0,0.42,0.3,0.5,0.45,0.42,0.36,0.53,0.44,0.43,0.53,0.67
pentahoanalysistool.csv,0.9,0.94,0.67,0.92,0.0,0.94,0.96,0.97,0.7,0.0,0.89,0.8,0.67
tradelink.csv,0.67,0.52,0.79,0.8,0.67,0.88,0.95,0.95,0.77,0.83,0.94,0.0,0.8
turbotrader-bos.csv,0.89,0.63,0.53,0.75,0.75,0.77,0.97,0.73,0.6,0.94,0.55,0.92,0.57
ultimairis.csv,0.63,0.48,0.48,0.39,0.54,0.52,0.62,0.46,0.55,0.8,0.57,0.64,0.59
wikipediardware.csv,0.55,0.39,0.42,0.34,0.4,0.37,0.36,0.33,0.42,0.4,0.36,0.46,0.43
yafdotnet.csv,0.73,0.41,0.42,0.43,0.62,0.55,0.53,0.46,0.53,0.51,0.36,0.72,0.51
