,pclasses.csv,re2c.csv,thrust.csv,k3b.csv,clamav.csv,acdk.csv,kindb.csv
acdk.csv,0.21,0.54,0.27,0.5,0.29,0.77,0.78
clamav.csv,0.59,0.47,0.48,0.64,0.64,0.76,0.76
k3b.csv,0.56,0.29,0.61,0.72,0.29,0.7,0.73
kindb.csv,0.57,0.74,0.28,0.62,0.06,0.77,0.86
pclasses.csv,0.75,0.0,0.0,0.04,0.61,0.35,0.14
re2c.csv,0.21,1.0,0.07,0.4,0.29,0.22,0.04
thrust.csv,0.0,0.53,0.68,0.39,0.55,0.43,0.37
