,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.07,0.02,0.16,0.08,0.0,0.17,0.0,0.0,0.03,0.17
fritzing.csv,0.14,0.21,0.01,0.39,0.4,0.43,0.15,0.15,0.28,0.47
jlinalg.csv,0.0,0.34,0.75,0.75,0.8,0.79,0.96,0.93,0.72,0.77
knowledge.csv,0.93,0.99,0.91,0.96,0.0,0.88,0.98,0.85,0.94,0.92
massiv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
oscarmcmaster.csv,0.07,0.2,0.65,0.04,0.0,0.1,0.0,0.11,0.03,0.01
playerstage.csv,0.07,0.43,0.22,0.01,0.0,0.25,0.15,0.13,0.19,0.37
quarkplusplus.csv,0.14,0.11,0.13,0.2,0.0,0.22,0.17,0.39,0.0,0.25
rtrt-on-gpu.csv,0.07,0.32,0.31,0.39,0.4,0.32,0.02,0.22,0.22,0.41
superwaba.csv,0.21,0.0,0.4,0.47,0.6,0.55,0.9,0.78,0.59,0.72
