,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.24,0.16,0.39,0.1,0.26,0.75,0.0,0.95,0.25,0.34
fritzing.csv,0.68,0.72,0.97,0.5,0.69,0.75,0.3,0.35,0.38,0.72
jlinalg.csv,1.0,0.5,0.82,0.86,0.92,0.75,0.6,1.0,0.92,0.83
knowledge.csv,0.92,0.98,0.94,1.0,1.0,1.0,0.9,0.95,0.92,0.96
massiv.csv,0.02,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oscarmcmaster.csv,0.24,0.48,0.78,0.19,0.13,0.25,0.0,0.05,0.08,0.91
playerstage.csv,0.3,0.58,0.47,0.95,0.4,0.5,0.0,0.35,0.42,0.49
quarkplusplus.csv,0.6,0.16,0.33,0.5,0.24,0.75,0.1,0.3,1.0,0.38
rtrt-on-gpu.csv,0.18,0.34,0.29,0.38,0.32,0.5,0.8,0.25,0.17,0.47
superwaba.csv,0.56,0.92,0.68,0.78,0.79,1.0,0.9,0.85,0.75,0.77
