,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.28,0.19,0.44,0.12,0.31,0.76,0.0,0.96,0.29,0.39
fritzing.csv,0.71,0.73,0.97,0.52,0.67,0.71,0.34,0.4,0.42,0.67
jlinalg.csv,1.0,0.53,0.56,0.58,0.53,0.5,0.16,0.27,0.63,0.55
knowledge.csv,0.27,0.05,0.33,0.17,1.0,0.41,0.09,0.46,0.24,0.3
massiv.csv,0.02,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oscarmcmaster.csv,0.28,0.52,0.63,0.23,0.16,0.29,0.0,0.06,0.1,0.92
playerstage.csv,0.35,0.58,0.51,0.96,0.45,0.54,0.0,0.4,0.46,0.51
quarkplusplus.csv,0.64,0.19,0.38,0.54,0.28,0.76,0.12,0.33,1.0,0.42
rtrt-on-gpu.csv,0.21,0.38,0.33,0.41,0.35,0.53,0.83,0.29,0.2,0.49
superwaba.csv,0.59,0.93,0.66,0.71,0.66,0.8,0.35,0.54,0.64,0.57
