,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.38,0.27,0.5,0.17,0.41,0.06,0.0,0.97,0.39,0.34
fritzing.csv,0.79,0.69,0.98,0.49,0.8,0.02,0.3,0.41,0.43,0.41
jlinalg.csv,1.0,0.47,0.62,0.59,0.93,0.01,0.19,0.48,0.64,0.35
knowledge.csv,0.84,0.52,0.65,0.59,1.0,0.02,0.27,0.49,0.58,0.35
massiv.csv,0.04,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oscarmcmaster.csv,0.38,0.52,0.63,0.31,0.23,0.03,0.0,0.08,0.15,0.95
playerstage.csv,0.45,0.49,0.55,0.96,0.57,0.03,0.0,0.42,0.5,0.34
quarkplusplus.csv,0.73,0.24,0.45,0.56,0.39,0.05,0.11,0.27,1.0,0.33
rtrt-on-gpu.csv,0.3,0.35,0.36,0.39,0.48,0.02,0.84,0.29,0.23,0.31
superwaba.csv,0.69,0.96,0.64,0.63,0.86,0.03,0.29,0.47,0.59,0.34
