,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.0,0.0,0.0,0.0,0.0,32.0,57.0,0.0,0.0,3.0
fritzing.csv,0.0,3.0,0.0,0.0,0.0,75.0,4.0,1.0,1.0,0.0
jlinalg.csv,0.0,3.0,1.0,1.0,0.0,237.0,2.0,11.0,1.0,9.0
knowledge.csv,0.0,27.0,1.0,1.0,0.0,255.0,2.0,6.0,4.0,9.0
massiv.csv,0.0,141.0,0.0,140.0,66.0,0.0,57.0,65.0,55.0,224.0
oscarmcmaster.csv,0.0,4.0,1.0,1.0,0.0,43.0,57.0,1.0,1.0,0.0
playerstage.csv,0.0,9.0,0.0,0.0,0.0,73.0,57.0,0.0,0.0,2.0
quarkplusplus.csv,0.0,0.0,0.0,0.0,0.0,54.0,8.0,4.0,0.0,4.0
rtrt-on-gpu.csv,0.0,15.0,0.0,4.0,0.0,90.0,0.0,5.0,5.0,7.0
superwaba.csv,0.0,0.0,1.0,0.0,0.0,140.0,3.0,6.0,2.0,5.0
