,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.09,0.36,0.12,0.46,0.71,0.68,0.47,0.13,0.31,0.43,0.29,0.51,0.33,0.48,0.02,0.91
aztec.csv,0.24,0.34,0.12,0.48,0.2,0.19,0.35,0.32,0.23,0.82,0.4,0.66,0.12,0.36,0.26,0.68
bl-toolkit.csv,0.0,0.61,0.22,0.65,0.36,0.75,0.41,0.27,0.56,0.17,0.0,0.61,0.33,0.5,0.55,0.0
co-ode-owl-plugins.csv,0.0,0.41,0.28,0.49,0.71,0.68,0.5,0.26,0.44,0.38,0.37,0.59,0.45,0.56,0.17,0.92
gbif-indexingtoolkit.csv,0.29,0.12,0.22,0.59,0.49,0.63,0.5,0.37,0.53,0.51,0.43,0.65,0.33,0.46,0.29,0.32
gnukeda.csv,0.25,0.57,0.54,0.42,0.33,0.3,0.78,0.21,0.22,0.43,0.25,0.51,0.51,0.55,0.38,0.0
motu.csv,0.34,0.51,0.55,0.45,0.42,0.41,0.58,0.57,0.41,0.33,0.38,0.7,0.6,0.43,0.62,0.17
oscarmcmaster.csv,0.22,0.36,0.23,0.38,0.36,0.65,0.54,0.67,0.54,0.0,0.53,0.76,0.61,0.57,0.35,0.72
pamguard.csv,0.64,0.55,0.41,0.31,0.45,0.34,0.27,0.37,0.45,0.57,0.69,0.62,0.34,0.57,0.43,0.05
prelude.csv,0.88,0.56,0.54,0.3,0.2,0.2,0.47,0.48,0.0,0.17,0.13,0.32,0.53,0.38,0.33,0.56
qdvdauthor.csv,0.0,0.5,0.22,0.39,0.44,0.32,0.45,0.63,0.6,0.24,0.2,0.26,0.77,0.48,0.48,0.69
qlc.csv,0.45,0.37,0.46,0.47,0.26,0.73,0.49,0.69,0.62,0.1,0.41,0.5,0.72,0.44,0.17,0.0
scite-ru.csv,0.17,0.67,0.53,0.09,0.5,0.0,0.0,0.65,0.53,0.44,0.33,0.54,0.61,0.56,0.68,0.27
tencompetence.csv,0.63,0.18,0.06,0.21,0.13,0.14,0.3,0.49,0.48,0.0,0.44,0.27,0.26,0.18,0.8,0.07
trackit.csv,0.41,0.65,0.4,0.39,0.75,0.38,0.48,0.13,0.37,0.68,0.2,0.44,0.41,0.46,0.32,0.63
yaprm.csv,0.15,0.42,0.6,0.37,0.24,0.12,0.49,0.61,0.68,0.4,0.55,0.1,0.56,0.45,0.51,0.0
