,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.18,0.22,0.1,0.5,0.03,0.55,0.47,0.11,0.26,0.15,0.21,0.7,0.42,0.33,0.3,0.2
aztec.csv,0.55,0.09,0.08,0.36,0.42,0.09,0.19,0.14,0.11,0.22,0.21,0.57,0.16,0.3,0.27,0.4
bl-toolkit.csv,1.0,0.61,0.48,0.3,0.85,0.23,0.84,0.76,0.68,0.96,1.0,0.59,0.63,0.8,0.58,1.0
co-ode-owl-plugins.csv,0.0,0.22,0.08,0.66,0.09,0.5,0.47,0.21,0.53,0.14,0.42,0.63,0.37,0.37,0.4,0.15
gbif-indexingtoolkit.csv,0.91,0.13,0.25,0.2,0.76,0.32,0.69,0.7,0.58,0.47,0.85,0.7,0.42,0.4,0.18,0.91
gnukeda.csv,0.18,0.65,0.77,0.86,0.66,0.36,0.25,0.95,0.24,0.65,0.3,0.59,0.68,0.51,0.88,0.02
motu.csv,0.0,0.7,0.5,0.84,0.87,0.36,0.34,0.77,0.87,0.66,0.88,0.28,0.47,0.86,0.71,0.34
oscarmcmaster.csv,0.27,0.3,0.04,0.54,0.41,0.68,0.25,0.57,0.61,0.01,0.73,0.46,0.32,0.34,0.36,0.22
pamguard.csv,0.64,0.39,0.38,0.24,0.51,0.27,0.28,0.34,0.42,0.57,0.36,0.7,0.26,0.57,0.28,0.99
prelude.csv,0.18,0.61,0.81,0.92,0.95,0.95,0.84,0.77,1.0,0.96,0.97,0.91,0.79,0.89,0.91,0.73
qdvdauthor.csv,1.0,0.52,0.15,0.44,0.09,0.91,0.75,0.5,0.55,0.31,0.0,0.54,0.26,0.3,0.39,0.62
qlc.csv,0.0,0.13,0.35,0.46,0.28,0.45,0.31,0.4,0.61,0.05,0.18,0.2,0.37,0.31,0.34,0.0
scite-ru.csv,0.0,0.57,0.13,0.98,0.82,1.0,1.0,0.69,0.79,0.48,0.91,0.78,0.68,0.77,0.59,0.93
tencompetence.csv,0.18,0.09,0.04,0.16,0.13,0.27,0.19,0.56,0.39,0.3,0.42,0.07,0.21,0.28,0.29,0.68
trackit.csv,0.64,0.39,0.5,0.46,0.12,0.55,0.69,0.13,0.55,0.41,0.18,0.61,0.63,0.38,0.36,0.2
yaprm.csv,0.0,0.39,0.58,0.58,0.66,0.45,0.31,0.39,0.34,0.74,0.7,0.0,0.37,0.57,0.36,0.12
