,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.31,0.98,0.82,0.45,0.14,0.57,0.33,0.48,0.51,0.56,0.22,0.81,0.71,0.52
chrysalis.csv,0.15,0.09,0.09,0.41,0.05,0.0,0.33,0.33,0.07,0.0,0.0,0.42,0.29,0.96
etics.csv,0.92,0.29,0.36,0.59,0.57,0.71,0.67,0.21,0.34,0.38,0.72,0.44,0.5,0.11
flexpay.csv,0.23,0.82,0.09,0.59,0.67,0.43,0.0,0.79,0.89,0.94,0.25,0.01,0.29,0.33
ifmo-game-1.csv,0.0,0.02,0.0,0.05,0.1,1.0,0.0,0.0,0.0,0.0,0.22,0.0,0.21,0.0
jcl.csv,0.38,0.25,0.45,0.36,0.48,0.0,0.33,0.02,0.04,0.88,0.36,0.06,0.64,0.11
linuxsh.csv,0.62,0.16,0.91,0.0,0.05,0.14,0.0,0.21,0.22,0.0,0.28,0.26,0.14,0.15
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
openmeetings.csv,0.46,0.19,0.27,0.95,0.29,0.43,0.33,0.14,0.33,0.56,0.56,0.54,0.93,0.3
plato.csv,0.46,0.58,0.18,0.68,0.29,0.86,0.0,1.0,0.74,0.81,0.53,0.93,0.36,0.74
projecteqemu.csv,0.38,0.18,0.18,0.5,0.43,0.14,1.0,0.21,0.21,0.12,0.92,0.04,0.64,0.15
scite-ru.csv,0.77,0.87,0.55,0.91,0.95,0.71,0.67,0.74,0.79,0.12,0.44,0.81,1.0,0.74
uclmda.csv,0.08,0.33,0.73,0.55,0.48,0.0,0.33,0.24,0.48,0.75,0.39,1.0,0.36,0.26
vrjuggler.csv,0.62,0.87,0.36,0.82,0.86,0.71,1.0,0.93,0.76,1.0,0.86,0.53,0.79,0.74
