,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.27,1.0,0.17,0.31,0.18,0.09,0.04,0.83,0.16,0.26,0.44,0.98,0.17,0.15
chrysalis.csv,0.5,0.36,0.25,0.41,1.0,0.0,1.0,0.88,0.16,0.0,0.0,1.0,0.29,1.0
etics.csv,1.0,0.59,0.36,0.23,0.3,0.12,0.25,0.69,0.17,0.18,0.52,0.93,0.14,0.14
flexpay.csv,0.16,0.49,0.33,0.14,0.25,0.07,0.0,0.85,1.0,0.26,0.24,0.33,0.1,0.2
ifmo-game-1.csv,0.0,1.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.21,0.0
jcl.csv,0.24,0.34,0.15,0.08,0.34,0.0,0.11,1.0,0.16,0.23,0.5,0.83,1.0,0.14
linuxsh.csv,0.26,0.38,1.0,0.0,0.33,0.12,0.0,0.75,0.28,0.0,0.45,1.0,0.33,0.57
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
openmeetings.csv,0.5,0.73,0.27,1.0,0.3,0.12,0.15,0.6,0.21,0.29,0.62,0.99,0.18,0.28
plato.csv,0.18,0.57,0.4,0.25,0.26,0.1,0.0,1.0,0.18,0.28,0.42,0.99,0.07,0.18
projecteqemu.csv,0.71,0.69,0.15,0.48,0.43,0.06,0.4,0.75,0.17,0.15,1.0,0.78,0.19,0.15
scite-ru.csv,0.2,0.51,0.21,0.16,0.91,0.1,0.1,0.82,0.16,0.12,0.55,0.96,0.12,0.16
uclmda.csv,0.33,0.54,0.21,0.3,0.3,0.0,0.06,0.83,0.23,0.19,0.44,1.0,0.16,0.19
vrjuggler.csv,0.17,0.49,0.22,0.12,0.32,0.09,0.16,0.85,0.15,1.0,0.46,0.94,0.13,0.15
