,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.0,0.0,1.0,10.0,0.0,0.0,32.0,15.0,1.0,2.0,0.0,0.0,7.0,0.0,3.0,10.0
arcallians.csv,0.0,0.0,5.0,8.0,0.0,42.0,30.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,6.0
arianne.csv,0.0,3.0,0.0,6.0,0.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,4.0
aztec.csv,0.0,0.0,1.0,21.0,0.0,0.0,2.0,7.0,2.0,12.0,1.0,0.0,1.0,2.0,1.0,5.0
bl-toolkit.csv,2.0,0.0,0.0,6.0,0.0,23.0,32.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,4.0,0.0
clamav.csv,3.0,1.0,1.0,3.0,4.0,6.0,4.0,3.0,5.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
gnupdate.csv,0.0,0.0,0.0,2.0,0.0,8.0,4.0,1.0,1.0,9.0,0.0,0.0,2.0,6.0,0.0,2.0
les-indemodables.csv,2.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,6.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0
mbse.csv,10.0,0.0,3.0,21.0,0.0,6.0,15.0,0.0,1.0,14.0,1.0,0.0,1.0,1.0,1.0,5.0
ns-3-dev-def-routing.csv,3.0,0.0,0.0,7.0,0.0,7.0,3.0,0.0,7.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0
openxava.csv,0.0,3.0,0.0,21.0,7.0,62.0,0.0,29.0,2.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0
phonon-vlc-mplayer.csv,5.0,0.0,3.0,0.0,0.0,5.0,33.0,2.0,6.0,9.0,1.0,0.0,0.0,5.0,0.0,4.0
qgis.csv,2.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
vars-redux.csv,2.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0
xapian.csv,2.0,0.0,0.0,9.0,0.0,10.0,33.0,0.0,2.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0
yafdotnet.csv,2.0,0.0,3.0,1.0,0.0,2.0,0.0,40.0,6.0,11.0,3.0,0.0,0.0,0.0,6.0,0.0
