,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.35,0.46,0.24,0.64,0.39,0.17,0.88,0.75,0.76,0.15,0.55,0.96,0.63,0.61,0.31,0.65
arcallians.csv,0.5,0.67,0.78,0.74,0.95,0.42,0.75,0.63,0.41,0.25,0.55,0.31,0.58,0.56,0.46,0.51
arianne.csv,0.97,0.5,0.72,0.55,0.77,0.42,0.5,0.25,0.78,0.65,0.5,0.55,0.66,0.66,0.31,0.68
aztec.csv,0.62,0.3,0.38,0.13,0.27,0.88,0.56,0.03,0.43,0.55,0.5,0.69,0.35,0.18,0.31,0.11
bl-toolkit.csv,0.59,0.55,0.98,0.72,0.86,0.33,0.94,1.0,0.82,0.9,1.0,1.0,0.69,0.56,0.62,1.0
clamav.csv,0.4,0.58,0.24,0.45,0.55,0.5,0.69,0.4,0.78,0.85,0.55,0.54,0.46,0.61,0.65,0.57
gnupdate.csv,0.5,0.7,0.12,0.58,0.82,0.29,0.38,0.17,0.78,0.6,0.9,0.42,0.45,0.56,0.38,0.68
les-indemodables.csv,0.11,0.42,0.26,0.48,0.41,0.04,0.56,0.22,0.49,0.2,0.4,0.13,0.28,0.4,0.23,0.92
mbse.csv,0.49,0.56,0.46,0.51,0.7,0.25,0.75,0.83,0.55,0.6,0.75,0.74,0.56,0.54,0.73,0.46
ns-3-dev-def-routing.csv,0.24,0.42,0.28,0.38,0.59,0.54,0.56,0.72,0.18,0.7,0.25,0.43,0.43,0.98,0.38,0.76
openxava.csv,0.36,0.42,0.3,0.07,0.05,0.25,1.0,0.54,0.2,0.7,0.3,0.56,0.27,0.28,0.5,0.57
phonon-vlc-mplayer.csv,0.42,0.71,0.74,0.99,0.7,0.38,1.0,0.25,0.65,0.8,0.8,0.47,0.62,0.51,0.46,0.7
qgis.csv,0.44,0.98,0.52,0.58,0.48,0.33,0.56,0.6,0.55,0.35,0.4,0.47,0.41,0.52,0.62,0.54
vars-redux.csv,0.28,0.49,0.4,0.45,0.43,0.25,0.94,0.66,1.0,0.25,0.45,0.45,0.47,0.5,0.31,0.57
xapian.csv,0.44,0.63,0.8,0.72,0.93,0.38,0.94,0.94,0.63,0.95,1.0,0.93,0.48,0.77,0.92,1.0
yafdotnet.csv,0.58,0.7,0.58,0.54,0.86,0.42,0.69,0.86,0.59,0.85,0.3,0.37,0.97,0.65,0.69,0.62
