,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.71,0.58,0.73,0.56,0.65,0.94,0.67,0.46,0.44,0.89,0.48,0.47,0.47,0.45,0.8,0.42
arcallians.csv,0.57,0.5,0.48,0.66,0.6,0.48,0.51,0.52,0.62,0.81,0.92,0.79,0.54,0.56,0.7,0.64
arianne.csv,0.52,0.53,0.49,0.8,0.52,0.92,0.49,0.97,0.42,0.48,0.52,0.45,0.45,0.57,0.81,0.47
aztec.csv,0.49,0.83,0.69,0.68,0.71,0.95,0.42,0.89,0.64,0.48,0.58,0.49,0.76,0.96,0.66,0.96
bl-toolkit.csv,0.51,0.6,0.49,0.77,0.49,0.97,0.48,0.36,0.39,0.41,0.46,0.38,0.46,0.6,0.58,0.49
clamav.csv,0.56,0.43,0.61,0.43,0.41,0.42,0.38,0.67,0.38,0.53,0.4,0.48,0.5,0.39,0.41,0.47
gnupdate.csv,0.58,0.52,0.86,0.81,0.53,0.97,0.92,0.95,0.42,0.58,0.94,0.65,0.63,0.56,0.6,0.53
les-indemodables.csv,0.95,0.55,0.76,0.91,0.65,0.92,0.75,0.9,0.55,0.86,0.77,0.97,0.82,0.57,0.91,0.62
mbse.csv,0.5,0.56,0.5,0.57,0.5,0.82,0.69,0.82,0.49,0.53,0.53,0.46,0.51,0.51,0.46,0.71
ns-3-dev-def-routing.csv,0.85,0.65,0.8,0.87,0.54,0.66,0.92,0.48,0.82,0.54,0.74,0.63,0.63,0.62,0.72,0.56
openxava.csv,0.64,0.52,0.65,0.68,0.83,0.44,0.94,0.45,0.9,0.39,0.47,0.45,0.83,0.62,0.48,0.5
phonon-vlc-mplayer.csv,0.63,0.5,0.43,0.9,0.56,0.98,0.48,0.97,0.47,0.45,0.5,0.54,0.51,0.55,0.6,0.56
qgis.csv,0.55,0.55,0.53,0.58,0.44,0.53,0.42,0.46,0.46,0.62,0.57,0.47,0.69,0.47,0.43,0.53
vars-redux.csv,0.81,0.55,0.6,0.98,0.52,0.96,0.36,0.47,0.51,0.9,0.5,0.61,0.6,0.47,0.84,0.47
xapian.csv,0.61,0.52,0.53,0.66,0.49,0.66,0.48,0.41,0.46,0.42,0.46,0.4,0.65,0.46,0.88,0.49
yafdotnet.csv,0.43,0.46,0.49,0.45,0.52,0.43,0.4,0.37,0.42,0.41,0.79,0.58,0.52,0.39,0.4,0.57
