,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.39,0.5,0.28,0.59,0.44,0.2,0.68,0.68,0.7,0.18,0.57,0.96,0.6,0.59,0.35,0.63
arcallians.csv,0.5,0.62,0.66,0.72,0.96,0.41,0.28,0.64,0.44,0.29,0.59,0.35,0.58,0.56,0.5,0.48
arianne.csv,0.97,0.5,0.66,0.58,0.62,0.47,0.52,0.29,0.72,0.65,0.51,0.53,0.62,0.6,0.35,0.6
aztec.csv,0.44,0.33,0.42,0.15,0.29,0.9,0.54,0.04,0.42,0.51,0.4,0.59,0.38,0.21,0.33,0.13
bl-toolkit.csv,0.61,0.56,0.98,0.72,0.52,0.37,0.05,0.0,0.66,0.73,0.0,0.09,0.61,0.54,0.63,0.09
clamav.csv,0.44,0.59,0.28,0.47,0.56,0.51,0.65,0.44,0.66,0.87,0.56,0.55,0.49,0.58,0.61,0.59
gnupdate.csv,0.49,0.57,0.15,0.62,0.65,0.34,0.43,0.2,0.67,0.55,0.92,0.45,0.49,0.55,0.4,0.6
les-indemodables.csv,0.13,0.46,0.3,0.53,0.46,0.05,0.6,0.26,0.53,0.24,0.42,0.16,0.32,0.44,0.27,0.93
mbse.csv,0.41,0.55,0.45,0.44,0.54,0.29,0.72,0.86,0.52,0.54,0.5,0.56,0.52,0.52,0.41,0.46
ns-3-dev-def-routing.csv,0.28,0.46,0.32,0.43,0.52,0.57,0.6,0.54,0.21,0.59,0.28,0.45,0.46,0.98,0.42,0.72
openxava.csv,0.4,0.46,0.34,0.09,0.06,0.27,1.0,0.5,0.24,0.66,0.33,0.52,0.31,0.32,0.5,0.61
phonon-vlc-mplayer.csv,0.45,0.64,0.61,0.99,0.55,0.43,0.05,0.29,0.63,0.58,0.53,0.5,0.63,0.53,0.47,0.6
qgis.csv,0.48,0.98,0.54,0.6,0.51,0.37,0.54,0.57,0.57,0.39,0.44,0.49,0.45,0.53,0.61,0.57
vars-redux.csv,0.32,0.53,0.44,0.5,0.47,0.29,0.79,0.65,1.0,0.29,0.48,0.49,0.51,0.52,0.36,0.6
xapian.csv,0.48,0.57,0.75,0.71,0.09,0.42,0.0,0.46,0.58,0.24,0.09,0.24,0.52,0.65,0.93,0.24
yafdotnet.csv,0.56,0.56,0.55,0.56,0.63,0.44,0.68,0.56,0.56,0.36,0.34,0.41,0.97,0.61,0.62,0.6
