,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.9,0.88,0.99,0.75,0.96,0.74,0.43,0.68,0.78,0.71,0.57,0.83,0.61,0.68,0.91,0.43,0.51,0.77,0.93,0.44
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8
free-evolution.csv,0.82,0.48,0.99,0.86,0.92,0.79,0.83,0.56,0.93,0.92,0.67,0.72,0.66,0.8,0.53,0.94,0.47,0.83,0.64,0.92
gtad.csv,0.5,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.92,0.0,0.5,0.0
gusanos.csv,0.45,0.36,0.42,0.4,0.49,0.39,0.43,0.44,0.43,0.38,0.43,0.44,0.44,0.4,0.41,0.34,0.36,0.41,0.46,0.34
kaffeine.csv,0.37,0.32,0.51,0.4,0.43,0.36,0.45,0.37,0.42,0.32,0.43,0.47,0.39,0.4,0.41,0.31,0.37,0.45,0.39,0.38
lcfizvtop.csv,0.74,0.4,0.41,0.6,0.65,0.65,0.71,0.93,0.67,0.73,0.71,0.59,0.74,0.8,0.69,0.58,0.62,0.86,0.57,0.39
m-a-d-n-e-s-s.csv,0.39,0.4,0.93,0.59,0.66,0.47,0.76,0.88,0.56,0.4,0.52,0.57,0.67,0.5,0.48,0.46,0.67,0.5,0.54,0.44
m-m-m.csv,0.38,0.41,0.51,0.54,0.59,0.39,0.64,0.42,0.41,0.43,0.44,0.51,0.48,0.47,0.44,0.36,0.39,0.57,0.55,0.47
mediaportal.csv,0.0,0.67,0.88,0.0,0.43,0.49,0.67,0.94,0.48,0.43,0.98,0.97,0.75,0.0,0.5,0.57,0.95,0.5,0.67,0.59
mvnforum.csv,0.83,0.71,0.57,0.88,0.95,0.94,0.5,0.58,0.89,0.76,0.82,0.99,0.86,0.94,0.97,0.94,0.99,0.95,0.91,0.89
myfaces.csv,0.56,0.37,0.66,0.48,0.43,0.46,0.68,0.88,0.45,0.37,0.97,0.67,0.51,0.48,0.77,0.38,0.49,0.51,0.58,0.6
nh3d.csv,0.0,0.0,0.75,0.75,0.8,0.67,0.0,0.89,0.92,0.0,0.96,0.94,0.5,0.75,0.0,0.89,0.98,0.75,0.86,0.5
ogrehg.csv,0.71,0.59,0.51,0.57,0.62,0.58,0.83,0.56,0.63,0.52,0.49,0.65,0.63,0.77,0.8,0.54,0.5,0.73,0.68,0.37
pnotepad.csv,0.34,0.32,0.51,0.41,0.39,0.38,0.47,0.39,0.42,0.32,0.43,0.42,0.37,0.42,0.4,0.32,0.34,0.45,0.4,0.37
pydev.csv,0.92,0.39,0.68,0.81,0.86,0.64,0.62,0.62,0.67,0.9,0.78,0.68,0.71,0.86,0.94,0.65,0.62,0.9,0.62,0.41
sarasvati.csv,0.83,0.57,0.0,0.85,0.88,0.5,0.0,0.83,0.75,0.67,0.5,0.88,0.8,0.94,0.94,0.0,0.98,0.96,0.94,0.0
taokgame.csv,0.0,0.0,0.0,0.0,0.92,0.83,0.0,0.9,0.89,0.0,0.97,0.67,0.0,0.0,0.9,0.93,0.95,0.5,0.5,0.75
tokratan.csv,0.58,0.9,0.99,0.75,0.88,0.92,0.8,0.88,0.93,0.86,0.96,0.75,0.85,0.81,0.96,0.93,0.98,0.95,0.94,0.8
wgs-assembler.csv,0.8,0.69,0.77,0.88,0.88,0.81,0.0,0.82,0.63,0.71,0.64,0.98,0.92,0.89,0.68,0.76,0.69,0.95,0.64,0.56
