,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.41,0.67,0.5,0.37,0.46,0.54,0.38,0.48,0.53,0.58,0.83,0.38,0.64,0.42,0.59,0.4,0.53,0.49,0.39,0.41
checker-framework.csv,0.49,0.79,0.79,0.43,0.92,0.91,0.47,0.69,0.82,0.81,0.71,0.45,0.7,0.42,0.45,0.53,0.88,0.66,0.78,0.48
customsagetv.csv,0.91,0.86,0.62,0.45,0.94,0.5,0.8,0.6,0.95,0.67,0.67,0.92,0.51,0.68,0.5,0.66,0.95,0.91,0.83,0.8
elvishrayrenderer.csv,0.37,0.57,0.49,0.38,0.46,0.67,0.37,0.5,0.5,0.62,0.59,0.41,0.5,0.46,0.76,0.46,0.52,0.49,0.5,0.44
guineu.csv,0.68,0.85,0.78,0.71,0.65,0.86,0.62,0.73,0.72,0.67,0.62,0.64,0.92,0.61,0.89,0.65,0.73,0.97,0.9,0.65
inkscape.csv,0.75,0.74,0.0,0.0,0.82,0.43,0.5,0.5,0.81,0.79,0.57,0.0,0.88,0.75,0.0,0.5,0.8,0.8,0.41,0.53
mesa3d.csv,0.65,0.98,0.85,0.85,0.94,0.88,0.55,0.76,0.74,0.9,0.69,0.94,0.94,0.73,0.92,0.9,0.73,0.88,0.93,0.8
nsis.csv,0.36,0.42,0.49,0.4,0.41,0.38,0.42,0.63,0.47,0.49,0.47,0.44,0.37,0.56,0.47,0.54,0.47,0.51,0.43,0.49
octave.csv,0.42,0.5,0.8,0.9,0.94,0.53,0.5,0.77,0.68,0.88,0.88,0.59,0.33,0.86,0.61,0.96,0.7,0.63,0.73,0.57
oorexx.csv,0.37,0.61,0.0,0.67,0.91,0.36,0.5,0.62,0.56,0.5,0.4,0.44,0.46,0.96,0.65,0.97,0.52,0.47,0.5,0.4
owfs.csv,0.62,0.96,0.75,0.9,0.95,0.88,0.47,0.67,0.93,0.82,0.8,0.62,0.68,0.93,0.92,0.73,0.95,0.98,0.83,0.64
owlib.csv,0.47,0.54,0.5,0.44,0.51,0.42,0.39,0.6,0.47,0.53,0.68,0.44,0.47,0.41,0.6,0.47,0.46,0.58,0.52,0.38
prelude.csv,0.35,0.46,0.49,0.44,0.38,0.38,0.42,0.5,0.48,0.46,0.4,0.39,0.32,0.52,0.43,0.49,0.48,0.46,0.43,0.41
robocode.csv,0.45,0.69,0.41,0.38,0.95,0.88,0.52,0.52,0.76,0.63,0.62,0.51,0.68,0.44,0.95,0.5,0.78,0.77,0.86,0.64
tencompetence.csv,0.89,0.59,0.67,0.5,0.92,0.6,0.5,0.67,0.97,0.92,0.89,0.93,0.88,0.99,0.71,0.64,0.97,0.63,0.68,0.77
trinitycore.csv,0.83,0.97,0.71,0.8,0.95,0.9,0.62,0.63,0.88,0.88,0.88,0.82,0.45,0.93,0.84,0.94,0.8,0.74,0.92,0.86
uwom-server.csv,0.67,0.96,0.57,0.89,0.84,0.88,0.6,0.64,0.79,0.92,0.75,0.54,0.47,0.86,0.65,0.96,0.8,0.69,0.75,0.73
xfce.csv,0.32,0.49,0.54,0.37,0.55,0.47,0.38,0.48,0.46,0.44,0.44,0.39,0.36,0.47,0.49,0.48,0.44,0.45,0.58,0.41
zengine.csv,0.3,0.38,0.49,0.37,0.38,0.35,0.36,0.36,0.4,0.42,0.42,0.34,0.31,0.4,0.45,0.37,0.4,0.42,0.37,0.33
zildo.csv,0.39,0.71,0.41,0.39,0.94,0.64,0.44,0.44,0.54,0.61,0.8,0.44,0.8,0.43,0.8,0.42,0.56,0.48,0.89,0.38
