,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.97,0.33,0.29,1.0,0.23,0.4,0.57,0.44,0.52,0.6,0.71,1.0,0.15
apolloplayer.csv,0.55,1.0,0.59,0.0,0.34,0.48,0.33,0.44,0.8,0.6,0.61,0.0,0.37
auber.csv,0.32,0.5,0.18,0.0,0.51,0.5,0.6,0.3,0.36,0.36,0.47,0.4,0.99
irrlicht.csv,0.95,1.0,0.88,1.0,0.74,0.85,1.0,0.84,0.94,0.76,0.99,1.0,0.9
k3d.csv,0.18,0.12,0.06,0.0,0.09,0.09,0.97,0.12,0.11,0.04,0.03,0.2,0.16
nug.csv,0.58,0.71,0.94,1.0,0.66,0.35,0.83,0.74,1.0,0.64,0.56,0.2,0.49
owlapi.csv,0.29,0.46,0.18,0.0,0.29,0.42,0.37,0.3,0.73,0.96,0.4,0.2,0.24
ppcboot.csv,0.76,0.58,0.47,1.0,0.66,0.66,0.5,0.72,0.9,0.8,0.58,0.0,0.66
red5.csv,0.29,0.42,0.65,1.0,0.43,0.21,0.43,0.95,0.58,0.44,0.5,0.4,0.51
redshell.csv,0.92,0.38,1.0,1.0,0.74,1.0,0.93,0.98,1.0,0.56,0.95,0.2,0.58
utgb.csv,0.29,0.38,0.29,0.0,0.97,0.23,0.23,0.58,0.16,0.36,0.2,0.2,0.15
xreal.csv,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.04,1.0,0.01
