,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.84,0.55,0.6,0.89,0.56,0.48,0.55,0.66,0.49,0.45,0.76
google-gears.csv,0.75,0.62,0.95,0.78,0.64,0.75,0.63,0.45,0.62,0.63,0.46
grafx2.csv,0.76,0.28,0.72,0.79,0.62,0.47,0.64,0.66,0.56,0.68,0.67
kmess.csv,0.89,0.93,0.66,0.98,0.59,0.84,0.55,0.95,0.57,0.73,0.82
megameknet.csv,0.84,0.9,0.84,0.62,0.8,0.41,0.76,0.68,0.65,0.56,0.59
minig.csv,1.0,0.93,0.86,0.43,0.96,0.45,0.98,0.97,0.91,0.53,0.77
ns-3.csv,0.5,0.98,0.52,0.63,0.77,0.49,0.82,0.75,0.91,0.65,0.39
omseek.csv,0.77,0.93,0.89,0.71,0.35,0.63,0.69,0.8,0.69,0.62,0.89
quickfast.csv,0.76,0.83,0.6,0.5,0.9,0.64,0.85,0.72,0.8,0.47,0.35
sylpheed-claws.csv,1.0,1.0,0.43,0.59,0.99,0.72,0.98,0.97,1.0,0.55,1.0
xamj.csv,0.87,0.79,0.57,0.47,0.88,0.93,0.73,0.77,0.69,0.41,0.42
