,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv
benojt.csv,0.48,0.0,0.0,0.99,0.13,0.17
jahshaka.csv,0.59,0.75,0.41,0.37,0.55,0.54
jam-daq.csv,0.57,0.11,0.36,0.53,0.64,0.69
jatlas.csv,0.57,0.61,0.56,0.59,0.97,0.65
jedit.csv,0.76,0.09,0.37,0.0,0.13,0.0
open-media-library.csv,0.61,0.41,0.69,0.56,0.75,0.68
