,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.92,0.81,0.66,0.77,0.83,0.96,0.33,0.58,0.92,0.69,0.74
gstreamer.csv,0.54,0.64,0.69,0.67,0.73,0.77,0.36,0.6,0.59,0.4,0.63
ktc.csv,0.34,0.47,0.47,0.45,0.77,0.72,0.53,0.49,0.6,0.44,0.57
mbse.csv,0.68,0.58,0.41,0.62,0.68,0.53,0.62,0.63,0.55,0.67,0.59
nebuladevice.csv,0.59,0.72,1.0,0.6,0.81,0.95,0.86,0.8,0.36,0.95,0.62
neoengine.csv,0.59,0.46,1.0,0.53,0.86,0.85,0.62,0.98,0.66,0.97,0.72
openmalaria.csv,0.84,0.51,0.5,0.32,0.55,0.71,0.36,0.51,0.8,0.48,0.7
rtrt-on-gpu.csv,0.65,0.71,0.96,0.59,0.67,0.32,0.83,0.93,0.68,0.8,0.49
salasaga.csv,0.61,0.58,0.59,0.7,0.62,0.57,0.93,0.38,0.76,0.66,0.79
skia.csv,0.45,0.55,0.6,0.6,0.52,0.74,0.71,0.62,0.56,0.67,0.51
xemeiah.csv,0.49,0.71,0.77,0.81,0.36,0.59,0.78,0.47,0.78,0.69,0.7
