,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.58,0.53,0.45,0.65,0.57,0.23,0.88,0.34,0.32,0.74,0.56
gstreamer.csv,0.62,0.56,0.44,0.64,0.59,0.22,0.78,0.34,0.38,0.74,0.46
ktc.csv,0.71,0.62,0.51,0.65,0.35,0.29,0.64,0.37,0.32,0.7,0.49
mbse.csv,0.51,0.51,0.56,0.6,0.49,0.36,0.55,0.3,0.38,0.48,0.47
nebuladevice.csv,0.54,0.39,0.0,0.52,0.34,0.11,0.25,0.18,0.51,0.09,0.45
neoengine.csv,0.51,0.61,0.4,0.62,0.23,0.25,0.55,0.26,0.33,0.71,0.48
openmalaria.csv,0.6,0.6,0.51,0.75,0.63,0.27,0.79,0.37,0.31,0.7,0.55
rtrt-on-gpu.csv,0.5,0.46,0.39,0.57,0.46,0.64,0.72,0.26,0.3,0.63,0.58
salasaga.csv,0.5,0.51,0.41,0.43,0.67,0.36,0.4,0.44,0.24,0.68,0.47
skia.csv,0.63,0.53,0.41,0.53,0.6,0.24,0.45,0.37,0.35,0.48,0.54
xemeiah.csv,0.6,0.57,0.42,0.31,0.74,0.38,0.57,0.38,0.22,0.69,0.49
