,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,1710.0,98.5,391.0,4782.5,370.0,2195.0,98.5,98.5,97.5,277.5,389.5
emono.csv,98.5,98.5,392.0,5125.5,459.5,1837.5,99.0,98.5,97.5,473.5,295.0
haggle.csv,124.0,97.5,293.5,3566.5,367.0,1789.5,99.0,3403.0,97.5,473.5,95.5
hannosset.csv,66.5,98.5,75.5,0.0,176.0,400.0,99.0,2632.5,92.5,158.0,95.5
jas.csv,372.5,95.5,390.0,3394.5,363.0,1797.5,99.0,98.5,97.5,473.5,196.0
jgossipforum.csv,98.5,97.5,190.0,259.5,367.0,2146.0,99.0,29.5,97.5,379.0,97.5
madman.csv,547.5,98.5,94.5,1349.5,184.0,1244.0,99.0,4059.0,182.0,184.0,95.5
mediate.csv,98.5,95.5,293.5,4106.5,272.5,2050.0,97.5,2814.0,97.5,379.0,95.5
ngl.csv,98.5,98.5,293.0,793.0,549.0,2637.0,98.5,196.0,97.5,376.0,196.5
pustefix.csv,695.5,91.5,194.0,542.5,370.0,959.0,99.0,197.0,95.5,473.5,196.0
synecdoche.csv,98.5,98.5,95.5,2424.5,645.5,657.5,99.0,196.0,97.5,187.0,295.0
