,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.41,0.89,0.97,0.74,0.89,1.0,0.97,0.75,0.81,0.92
h2database.csv,0.48,0.39,0.89,0.48,0.66,0.6,0.85,0.62,0.8,0.94
hannosset.csv,0.98,0.74,0.92,0.83,0.86,0.4,0.93,0.86,0.83,0.94
jaql.csv,0.51,0.57,0.69,0.44,0.66,1.0,0.84,0.85,0.97,0.94
megameknet.csv,0.66,0.66,0.71,0.61,0.41,0.85,0.58,0.7,0.84,0.83
ngl.csv,0.96,0.75,0.67,0.73,0.49,0.89,0.78,0.47,0.86,0.68
qedo.csv,0.9,0.99,0.67,0.96,0.91,1.0,0.93,0.92,0.88,0.32
qmmp.csv,0.81,0.75,0.7,0.71,0.6,0.59,0.82,0.49,0.39,0.83
raven-monitoring.csv,0.77,0.75,0.42,0.69,0.57,0.9,0.72,0.89,0.85,0.88
v8.csv,0.96,0.59,0.88,0.88,0.67,0.53,0.23,0.86,0.84,0.88
