,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.37,0.14,0.05,0.4,0.17,0.0,0.08,0.38,0.31,0.08
h2database.csv,0.34,0.41,0.18,0.61,0.44,0.19,0.27,0.52,0.32,0.05
hannosset.csv,0.04,0.21,0.15,0.27,0.17,0.32,0.53,0.25,0.29,0.05
jaql.csv,0.3,0.3,0.41,0.63,0.44,0.0,0.28,0.25,0.06,0.05
megameknet.csv,0.23,0.24,0.41,0.51,0.53,0.12,0.67,0.54,0.38,0.12
ngl.csv,0.21,0.25,0.43,0.53,0.46,0.12,0.9,0.69,0.67,0.16
qedo.csv,0.09,0.03,0.44,0.07,0.13,0.0,0.26,0.15,0.44,0.37
qmmp.csv,0.24,0.27,0.46,0.47,0.42,0.23,0.7,0.66,0.71,0.11
raven-monitoring.csv,0.16,0.18,0.66,0.41,0.44,0.06,0.48,0.31,0.33,0.09
v8.csv,0.05,0.28,0.43,0.4,0.34,0.21,0.9,0.42,0.32,0.11
