,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.48,0.38,0.49,0.01,0.56,0.58,0.5,0.77,0.5,0.44,0.43,0.51,0.39,0.89,0.37
bibletime.csv,0.64,0.38,0.77,0.62,0.75,0.79,0.84,0.64,0.54,0.91,0.0,0.86,0.52,0.06,0.79
boost.csv,0.26,0.38,0.47,0.51,0.0,0.52,0.39,0.7,0.62,0.77,0.57,0.43,0.18,0.5,0.32
doomlegacy.csv,0.66,0.21,0.83,0.58,0.36,0.56,0.47,0.44,0.0,0.78,0.43,0.59,0.43,0.44,0.39
gpac.csv,0.36,0.62,0.0,0.85,0.62,0.45,0.55,0.61,0.38,0.53,0.29,0.37,0.36,0.28,0.2
kftpgrabber.csv,0.21,0.29,0.83,0.36,0.57,0.0,0.66,0.24,0.27,0.49,0.5,0.21,0.09,0.0,0.39
nativeclient.csv,0.49,0.54,0.68,0.74,0.6,0.52,0.58,0.27,0.42,0.77,0.43,0.63,0.45,0.28,0.0
netatalk.csv,0.21,0.08,0.51,0.39,0.23,0.21,0.0,0.35,0.19,0.54,0.14,0.29,0.23,0.17,0.18
open-ms.csv,0.4,0.75,0.13,0.36,0.05,0.06,0.11,0.56,0.5,0.38,0.57,0.0,0.45,0.61,0.01
openmsx.csv,0.95,0.83,0.83,0.8,0.75,0.55,0.71,0.0,0.35,0.97,0.79,0.74,0.75,0.39,0.94
rosegarden.csv,0.01,0.21,0.3,0.53,0.14,0.24,0.29,0.57,0.38,0.54,0.14,0.33,0.2,0.44,0.29
rsyslog.csv,0.31,0.0,0.47,0.73,0.16,0.35,0.34,0.32,0.38,0.41,0.5,0.47,0.36,0.06,0.52
sandiaportals.csv,0.73,0.58,1.0,0.92,0.97,0.73,0.79,0.59,0.54,1.0,0.79,0.74,0.57,0.0,0.56
xmoto.csv,0.31,0.25,0.7,0.5,0.42,0.45,0.45,0.31,0.38,0.66,0.29,0.36,0.0,0.44,0.51
xqilla.csv,0.03,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03,0.0,0.0,0.0
