,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.63,0.45,0.64,1.0,0.52,0.68,0.55,0.5,0.37,0.64,0.5,0.61,0.61,0.35,0.4
bibletime.csv,0.66,0.67,0.57,0.56,0.6,0.52,0.49,0.6,0.62,0.33,1.0,0.43,0.71,0.62,0.52
boost.csv,0.59,0.67,0.71,0.46,0.99,0.69,0.46,0.54,0.51,0.6,0.62,0.56,0.57,0.51,0.46
doomlegacy.csv,0.64,0.61,0.47,0.67,0.58,0.67,0.72,0.57,1.0,0.48,0.63,0.63,0.65,0.64,0.53
gpac.csv,0.57,0.44,1.0,0.43,0.59,0.69,0.54,0.44,0.5,0.82,0.73,0.56,0.64,0.79,0.4
kftpgrabber.csv,0.56,0.53,0.45,0.66,0.56,1.0,0.54,0.2,0.35,0.36,0.61,0.42,0.52,0.23,0.58
nativeclient.csv,0.72,0.65,0.63,0.53,0.52,0.66,0.71,0.41,0.53,0.6,0.7,0.67,0.66,0.62,1.0
netatalk.csv,0.64,0.43,0.53,0.49,0.47,0.69,1.0,0.38,0.59,0.35,0.56,0.55,0.51,0.39,0.32
open-ms.csv,0.47,0.48,0.14,0.3,0.15,0.31,0.34,0.45,0.47,0.66,0.36,1.0,0.34,0.3,0.07
openmsx.csv,0.21,0.39,0.46,0.49,0.54,0.67,0.52,1.0,0.49,0.13,0.55,0.54,0.5,0.35,0.24
rosegarden.csv,1.0,0.65,0.47,0.34,0.5,0.56,0.4,0.56,0.52,0.81,0.4,0.55,0.6,0.41,0.43
rsyslog.csv,0.69,1.0,0.47,0.57,0.45,0.76,0.59,0.38,0.53,0.36,0.48,0.61,0.64,0.63,0.59
sandiaportals.csv,0.6,0.76,0.0,0.3,0.13,0.64,0.51,0.59,0.54,0.0,0.55,0.56,0.72,1.0,0.63
xmoto.csv,0.67,0.54,0.6,0.56,0.66,0.66,0.73,0.38,0.6,0.56,0.51,0.57,1.0,0.65,0.49
xqilla.csv,0.12,0.05,0.11,0.04,0.01,0.0,0.17,0.0,0.05,1.0,0.02,0.07,0.07,0.0,0.0
