,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.66,0.42,0.68,1.0,0.54,0.8,0.57,0.72,0.35,0.67,0.48,0.65,0.61,0.75,0.37
bibletime.csv,0.83,0.69,0.91,0.63,0.93,0.83,1.0,0.72,0.68,1.0,1.0,0.89,0.81,0.57,0.84
boost.csv,0.56,0.69,0.77,0.45,0.99,0.77,0.43,0.68,0.56,1.0,0.7,0.56,0.53,0.51,0.43
doomlegacy.csv,0.83,0.58,0.84,0.79,0.57,0.77,0.79,0.57,1.0,0.67,0.65,0.73,0.67,0.66,0.51
gpac.csv,0.56,0.46,1.0,0.82,0.68,0.73,0.57,0.46,0.48,1.0,0.73,0.55,0.64,0.81,0.36
kftpgrabber.csv,0.52,0.5,0.75,0.66,0.6,1.0,0.64,0.17,0.31,0.33,0.64,0.38,0.47,0.19,0.57
nativeclient.csv,0.8,0.73,0.84,0.71,0.56,0.73,0.86,0.37,0.52,1.0,0.74,0.84,0.69,0.6,1.0
netatalk.csv,0.61,0.38,0.54,0.47,0.43,0.67,1.0,0.34,0.55,0.33,0.52,0.52,0.47,0.34,0.28
open-ms.csv,0.45,0.62,0.12,0.26,0.12,0.27,0.29,0.45,0.46,0.67,0.35,1.0,0.31,0.28,0.06
openmsx.csv,0.96,0.58,0.79,0.76,0.77,0.77,0.64,1.0,0.46,1.0,0.91,0.73,0.67,0.32,0.87
rosegarden.csv,1.0,0.62,0.43,0.32,0.45,0.53,0.36,0.6,0.5,1.0,0.35,0.53,0.56,0.38,0.39
rsyslog.csv,0.69,1.0,0.46,0.79,0.4,0.8,0.57,0.34,0.51,0.33,0.48,0.63,0.64,0.58,0.63
sandiaportals.csv,0.87,0.96,1.0,0.97,0.96,0.97,0.79,0.66,0.57,1.0,0.94,0.79,0.86,1.0,0.7
xmoto.csv,0.66,0.5,0.79,0.58,0.69,0.7,0.79,0.34,0.6,0.67,0.48,0.56,1.0,0.68,0.49
xqilla.csv,0.1,0.04,0.09,0.03,0.01,0.0,0.14,0.0,0.04,1.0,0.02,0.06,0.06,0.0,0.0
