,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.25,0.54,0.59,0.73,0.75,1.0,0.75,0.62,0.53,0.34,0.51
gabel.csv,0.05,0.33,0.54,0.36,0.75,0.1,0.51,0.2,0.06,0.45,0.13
javaprofiler.csv,0.7,0.72,1.0,0.82,1.0,1.0,0.8,0.93,0.65,0.86,0.8
jmoney.csv,0.85,0.87,0.38,0.59,0.62,0.1,0.43,0.3,0.47,0.66,0.15
mycila.csv,0.9,0.87,0.38,1.0,0.88,0.7,0.79,0.94,0.29,1.0,0.76
neodatis-odb.csv,0.95,0.41,0.68,0.68,0.75,0.6,0.22,0.81,0.18,0.93,0.65
servicestack.csv,0.05,0.07,0.16,0.0,0.0,0.1,0.0,0.07,0.71,0.0,0.01
sqlpower-library.csv,1.0,0.72,0.68,1.0,1.0,0.7,0.99,0.98,0.94,1.0,0.73
synecdoche.csv,0.65,0.85,0.43,0.95,0.75,0.3,0.48,0.65,0.41,0.62,0.33
tmva.csv,0.7,0.98,0.89,0.5,0.88,1.0,0.76,0.95,1.0,0.24,0.56
unicase.csv,1.0,0.83,0.86,0.59,1.0,0.7,0.9,0.77,0.35,0.76,0.83
