,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.77,0.51,0.87,0.39,0.48,0.93,0.62,0.76,0.69,0.7,0.58
gabel.csv,0.95,0.71,0.79,0.65,0.31,0.98,0.61,0.81,0.94,0.63,0.87
javaprofiler.csv,0.86,0.82,1.0,0.68,0.8,1.0,0.99,0.97,0.5,0.92,0.3
jmoney.csv,0.27,0.89,0.81,0.68,0.48,0.94,0.73,0.74,0.55,0.68,0.86
mycila.csv,0.69,1.01,0.81,1.0,0.92,0.34,0.91,0.97,1.07,1.0,0.89
neodatis-odb.csv,0.68,0.68,0.43,0.65,0.83,0.51,0.81,0.88,0.85,0.86,0.44
servicestack.csv,0.95,0.94,0.85,1.0,1.0,0.92,1.0,0.93,0.38,1.0,0.99
sqlpower-library.csv,0.98,0.41,0.75,1.0,0.67,0.95,0.98,0.95,0.87,1.0,0.52
synecdoche.csv,0.49,0.9,0.82,0.92,0.72,0.74,0.57,0.71,0.79,0.46,0.85
tmva.csv,0.7,1.0,0.91,0.62,0.94,0.95,0.4,1.0,1.0,0.76,0.94
unicase.csv,0.85,0.73,0.81,0.73,0.63,0.62,0.91,0.46,0.71,0.89,0.99
