,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.38,0.86,0.29,0.62,0.14,0.2,0.78,0.71,0.28,0.5,0.78
gabel.csv,0.5,0.79,0.31,0.62,0.26,0.06,0.79,0.78,1.0,0.5,0.83
javaprofiler.csv,0.3,0.72,0.35,0.44,0.1,0.19,0.69,0.72,0.41,0.39,0.88
jmoney.csv,0.65,0.73,0.28,0.41,0.16,0.08,0.72,0.78,0.53,0.43,0.79
mycila.csv,0.39,0.7,0.28,0.39,0.08,0.5,0.71,0.72,0.12,0.4,0.65
neodatis-odb.csv,0.4,0.76,0.56,0.43,0.08,0.32,0.73,0.71,0.25,0.42,0.83
servicestack.csv,0.5,0.75,0.43,0.0,0.0,0.11,0.0,0.89,0.52,0.0,1.0
sqlpower-library.csv,0.33,0.87,0.35,0.39,0.11,0.16,0.74,0.73,0.29,0.4,0.77
synecdoche.csv,0.48,0.72,0.28,0.4,0.09,0.23,0.85,0.73,0.23,0.62,0.57
tmva.csv,0.35,0.73,0.34,0.46,0.08,0.2,0.87,0.72,0.27,0.64,0.58
unicase.csv,0.36,0.76,0.36,0.38,0.12,0.23,0.73,0.83,0.32,0.37,0.64
