,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.27
fluent-nhibernate.csv,0.0,0.3,0.21,0.29,0.19,0.4,0.32
geogebra.csv,0.12,0.55,0.43,0.33,0.45,0.51,0.71
hibernate.csv,0.0,0.32,0.3,0.37,0.31,0.32,0.53
ninject.csv,0.04,0.44,0.34,0.46,0.34,0.19,0.59
poormans.csv,0.11,0.6,0.31,0.6,0.46,0.5,0.34
uface.csv,0.08,0.4,0.48,0.16,0.39,0.18,0.96
