,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.47,0.5,0.58,0.27,0.0,0.06,0.34,0.5,0.25,0.92,0.46
crisscross.csv,0.09,0.0,0.8,0.34,0.0,0.53,0.51,0.06,0.0,0.0,0.41
cubefs.csv,0.57,0.0,0.05,0.48,0.3,0.57,0.57,0.68,0.6,0.0,0.31
gisgraphy.csv,0.18,0.0,0.0,0.16,0.0,0.02,0.06,0.29,0.12,0.0,0.74
iaml.csv,0.22,0.1,0.5,0.22,0.96,0.4,0.67,0.12,0.45,0.35,0.62
ivataopenportal.csv,0.62,0.0,0.56,0.56,0.36,0.74,0.42,0.0,0.5,0.05,0.35
mb-unit.csv,0.62,0.27,0.42,0.68,0.65,0.62,0.45,0.16,0.58,0.38,0.4
mvdsv.csv,0.04,0.27,0.0,0.07,0.99,0.01,0.06,0.07,0.22,0.0,0.32
nova.csv,0.51,0.88,0.49,0.47,0.48,0.33,0.48,0.38,0.36,0.29,0.47
openwbem.csv,0.6,0.18,0.47,0.48,0.67,0.49,0.35,0.59,0.54,0.36,0.5
xcmetadataservicestoolkit.csv,0.31,0.1,0.09,0.5,0.62,0.47,0.54,0.21,0.75,0.32,0.3
