,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chrysalis.csv,0.32,0.0,0.12,0.13,0.0,0.02,0.13,0.05,0.0,0.97
jahshaka.csv,0.37,0.93,0.14,0.37,0.0,0.26,0.6,0.09,0.29,0.33
jam-daq.csv,0.52,0.56,0.54,0.49,0.24,0.38,0.94,0.42,0.5,0.56
jatlas.csv,0.35,0.0,0.06,0.02,1.0,0.0,0.38,0.0,0.0,0.0
jedit.csv,0.94,0.64,0.33,0.73,0.23,0.46,0.59,0.33,0.38,0.81
mscore.csv,0.53,0.77,0.62,0.0,0.59,0.98,0.53,0.42,0.5,0.65
open-media-library.csv,0.55,0.57,1.0,0.48,0.61,0.61,0.6,0.51,0.64,0.22
panda3d.csv,0.29,0.11,0.32,0.1,0.43,0.35,0.13,0.47,0.95,0.09
wheat.csv,0.54,0.61,0.43,0.68,0.71,0.61,0.66,0.94,0.51,0.49
