,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.96,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.09,0.02,0.11,0.0,0.05,0.01,0.13,0.08,0.0,0.0
jahshaka.csv,0.37,0.0,0.13,0.67,0.37,0.06,0.31,0.0,0.14,0.45
jam-daq.csv,0.43,0.39,0.24,0.33,0.21,0.32,0.0,0.42,0.57,0.18
jatlas.csv,0.24,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
jedit.csv,0.01,0.35,0.41,0.0,0.35,0.4,0.44,0.33,0.36,0.46
mscore.csv,0.36,0.53,0.54,1.0,0.44,0.0,0.78,0.38,0.5,0.4
open-media-library.csv,0.65,0.33,0.0,0.67,0.32,0.44,0.63,0.58,0.47,0.16
panda3d.csv,0.33,0.16,0.17,0.0,0.34,0.42,0.13,0.29,0.02,0.06
wheat.csv,0.31,0.49,0.35,0.33,0.52,0.31,0.67,0.0,0.46,0.16
