,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.28,0.0,0.1,0.11,0.0,0.02,0.11,0.04,0.0,0.96
jahshaka.csv,0.34,0.91,0.12,0.38,0.0,0.22,0.58,0.07,0.25,0.3
jam-daq.csv,0.51,0.55,0.5,0.46,0.2,0.34,0.93,0.39,0.52,0.52
jatlas.csv,0.31,0.0,0.05,0.02,1.0,0.0,0.33,0.0,0.0,0.0
jedit.csv,0.93,0.64,0.3,0.68,0.2,0.44,0.6,0.29,0.35,0.93
mscore.csv,0.51,0.91,0.68,0.77,0.6,0.98,0.82,0.39,0.5,0.67
open-media-library.csv,0.64,0.55,1.0,0.54,0.6,0.62,0.71,0.54,0.67,0.19
panda3d.csv,0.25,0.09,0.28,0.08,0.4,0.32,0.11,0.43,0.94,0.07
wheat.csv,0.51,0.64,0.4,0.68,0.8,0.59,0.87,0.93,0.5,0.44
