,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.33,0.42,0.33,0.35,0.39,0.4,0.36,0.35,0.45,0.46
chrysalis.csv,0.88,0.0,0.89,0.9,0.67,0.75,0.92,0.67,0.0,0.88
jahshaka.csv,0.71,0.8,0.91,0.51,0.83,0.78,0.6,0.5,0.63,0.84
jam-daq.csv,0.51,0.68,0.65,0.47,0.71,0.7,0.52,0.76,0.72,0.63
jatlas.csv,0.68,0.0,0.5,0.5,0.8,0.0,0.79,0.0,0.0,0.0
jedit.csv,0.47,0.54,0.52,0.35,0.48,0.63,0.35,0.69,0.58,0.45
mscore.csv,0.52,0.5,0.42,0.38,0.53,0.47,0.43,0.5,0.53,0.59
open-media-library.csv,0.41,0.5,0.53,0.5,0.65,0.44,0.48,0.45,0.55,0.96
panda3d.csv,0.85,0.89,0.89,0.86,0.7,0.83,0.92,0.79,0.79,0.9
wheat.csv,0.54,0.55,0.56,0.44,0.47,0.53,0.41,0.5,0.51,0.79
