,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.45,0.18,0.47,1.0,0.07,0.6,0.45,0.54,0.31,0.17
chrysalis.csv,0.71,0.0,0.44,1.0,0.0,0.75,0.42,0.33,0.0,1.0
jahshaka.csv,0.43,1.0,0.45,0.95,0.0,0.84,0.6,1.0,0.44,0.12
jam-daq.csv,0.49,0.24,0.65,0.98,0.07,0.61,1.0,0.52,0.29,0.37
jatlas.csv,0.51,0.0,1.0,1.0,1.0,0.0,0.79,0.0,0.0,0.0
jedit.csv,0.98,0.29,0.39,1.0,0.04,0.62,0.53,0.5,0.31,0.29
mscore.csv,0.53,0.28,0.52,0.96,0.1,1.0,0.47,0.55,0.31,0.25
open-media-library.csv,0.44,0.27,1.0,0.96,0.13,0.68,0.48,0.52,0.39,0.19
panda3d.csv,0.38,0.11,0.58,1.0,0.09,0.53,0.42,0.63,0.96,0.2
wheat.csv,0.57,0.23,0.5,0.98,0.11,0.74,0.52,1.0,0.33,0.35
