,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.0,1.0,1.0,0.0,1.0,21.0,2.0,6.0,0.0,74.0,0.0,0.0,1.0
biopax.csv,4.0,7.0,30.0,0.0,1.0,27.0,0.0,14.0,0.0,60.0,0.0,0.0,0.0
gdis.csv,4.0,7.0,8.0,0.0,6.0,3.0,2.0,8.0,0.0,119.0,0.0,0.0,0.0
kml.csv,1.0,7.0,50.0,0.0,3.0,29.0,1.0,15.0,0.0,58.0,0.0,0.0,2.0
ppcboot.csv,3.0,7.0,15.0,0.0,2.0,17.0,0.0,15.0,0.0,60.0,0.0,0.0,0.0
repositorium.csv,1.0,0.0,48.0,0.0,3.0,1.0,8.0,11.0,4.0,34.0,0.0,2.0,1.0
rsyslog.csv,0.0,7.0,26.0,0.0,2.0,3.0,0.0,14.0,1.0,60.0,0.0,0.0,1.0
simplewebservices.csv,4.0,5.0,68.0,0.0,3.0,3.0,1.0,8.0,0.0,14.0,0.0,0.0,1.0
ultimairis.csv,1.0,7.0,9.0,0.0,3.0,1.0,0.0,8.0,0.0,119.0,15.0,0.0,0.0
wow-qrsk.csv,1.0,2.0,47.0,0.0,0.0,96.0,0.0,1.0,0.0,48.0,3.0,0.0,0.0
wxstudio.csv,2.0,9.0,63.0,0.0,1.0,2.0,1.0,62.0,0.0,119.0,0.0,0.0,1.0
xbg.csv,3.0,143.0,22.0,0.0,2.0,3.0,1.0,3.0,0.0,119.0,0.0,0.0,0.0
xqilla.csv,0.0,4.0,45.0,3.0,3.0,34.0,1.0,7.0,1.0,1.0,0.0,0.0,1.0
