,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.13,0.4,0.27,0.86,0.38,0.27,0.73,0.08,0.81,0.16,0.88,0.42,0.48,0.67
elateportal.csv,0.02,0.36,0.3,0.73,0.4,0.71,0.54,0.13,0.81,0.13,0.8,0.41,0.34,1.0
gdis.csv,0.55,0.36,0.24,0.76,0.37,0.27,0.68,0.15,0.86,0.18,0.98,0.38,0.55,0.8
gzigzag.csv,0.65,0.53,0.36,1.0,0.33,0.59,0.83,1.0,0.94,0.31,1.0,0.42,0.41,0.92
icescrum.csv,0.58,0.43,0.29,0.95,0.36,0.45,0.49,0.08,0.97,0.14,0.94,0.55,0.76,0.6
jguard.csv,0.13,0.24,0.26,0.64,0.53,0.27,0.53,0.1,0.84,0.14,0.81,0.43,0.38,0.88
jitterbit.csv,0.48,0.56,0.35,0.84,0.38,0.48,0.6,0.38,0.87,0.18,0.92,0.19,0.37,0.5
jython.csv,0.48,0.29,0.23,0.55,0.39,0.28,0.78,0.11,0.81,0.12,1.0,0.46,0.5,0.6
personalaccess.csv,0.1,0.39,0.26,0.87,0.37,0.38,0.49,0.12,0.94,0.5,0.89,0.57,0.46,1.0
ppcboot.csv,0.45,0.28,0.25,0.67,0.4,0.27,0.7,0.11,0.89,0.21,0.88,0.39,0.43,0.87
repositorium.csv,0.1,0.35,0.21,0.25,0.22,0.31,1.0,0.36,0.0,0.13,0.89,0.46,0.2,1.0
unbvision.csv,0.68,0.38,0.42,0.89,0.28,0.52,0.45,0.1,0.86,0.2,0.82,0.4,1.0,1.0
wxstudio.csv,0.03,0.13,0.24,0.34,0.34,0.09,0.45,0.18,0.8,0.0,0.68,0.71,0.31,0.91
xbg.csv,0.27,0.2,0.29,0.33,0.45,0.33,0.6,0.5,1.0,0.29,0.33,0.18,0.6,0.5
